id,link,title,text_length,text,aurora,OSDG,combined,sentiment
0,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,59,"Investors have modest expectations heading into General Mills' (NYSE:GIS) earnings report on March 24. While the breakfast and snack food specialist has seen surging demand throughout the pandemic, the impact is waning. And the stock's underperformance of the S&P 500 in the past year implies that Wall Street is betting on a quick return to near-flat annual sales growth.",,,,0.2732
2,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,45,But General Mills might sail past those low expectations with help from its bigger base of loyal customers and rising profitability. So let's look at how those attractive investment prospects might show up in the company's announcement for the third quarter of its fiscal 2021.,,,,0.872
6,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,70,"There's every reason to expect a further slowing of sales growth following last year's spiking demand for pantry staples and home prepared meals. Organic revenue gains landed at 7% for the second quarter, which ended Nov. 29, compared to double-digit growth during peak COVID-19 lockdowns. Back in December, management predicted another quarter of gains ahead in fiscal Q3, but Wall Street is bracing for a slight slowdown to roughly 6%.",,,,0.6369
8,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,78,"Within that headline sales number, keep an eye on the balance between rising prices and increasing volumes. General Mills' growth has been led by volume gains in recent quarters, and another win in that arena would suggest that the company is keeping many of its newest customers even as the restaurant industry rebounds. It would also mean the company is winning market share in core areas like yogurts, baking ingredients, and pet food through the Blue Buffalo franchise.",,,,0.9451
12,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,55,The profit picture is clearer thanks to several factors that are all contributing to push margins toward new highs. General Mills' operating margin hit 20% of sales last quarter as manufacturing and input costs fell and prices increased. CEO Jeff Harmening and his team predicted another bounce ahead for the second half of fiscal 2021.,,,,0.7845
14,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,49,"While that's good news for the short-term earnings outlook, the real payoff depends on management using all those extra resources to maximum effect. General Mills will be boosting marketing and innovation spending, for example, in a bid to maintain its recent market share wins from restaurants and fast-food providers.",,,,0.9153
16,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,35,The consumer staples company's cash stockpile might also allow it to make another major acquisition or boost direct returns to shareholders through dividends and stock repurchases. Look for updates on these capital projects on Wednesday.,,,,0.5574
20,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,47,"The fiscal fourth quarter, which just began, will mark the hardest year-over-year comparison General Mills has experienced in modern times. Sales will likely drop when compared to the 16% surge the company achieved through late May in 2020, when most of the world was in COVID-19 shutdowns.",,,,-0.2732
22,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,56,The big question is whether the company's post-pandemic sales will grow at a quicker pace than the low single digits it was achieving before the disruption started last year. Management has suggested that demand will remain fundamentally higher for food prepared at home even after the virus threat fades and consumers return to normal mobility patterns.,,['SDG_3'],['SDG_3'],-0.765
24,https://www.fool.com/investing/2021/03/20/general-mills-earnings-what-to-watch/,General Mills Earnings: What to Watch,28,This week's report won't completely answer that question. But General Mills' updated outlook might show whether management still stands by its aggressive growth targets for 2022 and beyond.,,,,0.25
25,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",31,"A few years into Danone’s and General Mills’ regenerative agriculture pilots, one thing has become clear: It’s about data collection. Holistically changing our agriculture system to become more sustainable comes later.","['SDG_2', 'SDG_9']",,"['SDG_9', 'SDG_2']",0.3818
27,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",43,"""We really don’t have a great understanding of what happens when farmers make these transitions to regenerative systems,"" said Steven Rosenzweig, senior soil scientist at General Mills. ""This represents a way to get a better understanding of what’s really happening with these landscapes.""",,,,0.8055
29,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",49,"Danone recently completed year three of its five-year program for regenerative agriculture on 82,000 acres of farmland. According to Nicholas Camu, vice president of agriculture at Danone North America, the biggest reward of this pilot is the data and subsequent analysis to understand what’s going on in the fields.",,,,0.5719
31,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",75,"The company’s project provided funding — through government grants and fund matching initiatives — to help farmers transition to no-till agriculture and crop rotation, plant cover crops and other regenerative practices. By the end of year three, Danone’s farmers planted cover crops on 64 percent of the total acreage and practiced no-till on 77 percent. The national average is 5 percent and 33 percent respectively. They also doubled the number of crop species to 32.",,,,0.743
33,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",69,"By switching to these regenerative practices, Danone hoped farms would restore the soil, foster biodiversity, protect water systems, reduce greenhouse gases and sequester more carbon. But doing so in a significant way to combat climate change will take much more than three years, and probably closer to a generation. So getting the data on what worked and how well it worked is almost more important at this early stage.","['SDG_13', 'SDG_15']",,"['SDG_15', 'SDG_13']",0.8399
35,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",54,"Danone worked with third-party verification organization EcoPractices to measure the decrease in emissions, decrease in erosion and increase in carbon soil sequestration on each farm. But the reports are not public and data has remained the property of each individual farm, so we don’t really know how the shift to regenerative agriculture practices performed.",,,,0.3182
37,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",56,"But Danone did share that across the 82,000 acres in the pilot, 39,035 acres grew cover crops and 46,378 acres reduced till or practiced no-till. In aggregate, according to Danone, practicing regenerative agriculture in this program reduced more than 80,000 tons of carbon dioxide equivalent and sequestered more than 20,000 tons of carbon into the soil.",,,,0.296
39,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",35,"Now with that data, Danone can use its ""return on investment"" tool to model what happens when farmers implement regenerative agriculture techniques and can use that to convince other farms it is worth the investment.",,,,0.4404
43,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",86,"""With this tool that we developed, we can say ‘OK, you need to buy a new tractor to reduce tillage. And we now know that at this farm, it will pay itself back in four years, which gives us the right arguments to talk to the farmers and convince them that this is the right investment and we will help you cover those costs for four years,"" said Camu. ""That’s all thanks to this data gathering that we can really make specific solutions for specific farms.""",,,,0.6666
45,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",97,"General Mills is only two years into its three-year program but it already has laid the groundwork for a massive data dump. The program involves 24 wheat growers in Kansas, 45 grain and oat farmers in Canada and three dairy farms in Michigan. The company took baseline samples in 2019 of the birds, insects and soil carbon levels at each farm and plans to come back each year to see progress. Its overarching sustainability goal is to expand regenerative agriculture practices to 1 million acres by 2030 and reduce greenhouse gas emissions by 30 percent by 2030.","['SDG_2', 'SDG_9', 'SDG_12', 'SDG_13', 'SDG_15']",,"['SDG_12', 'SDG_2', 'SDG_13', 'SDG_9', 'SDG_15']",0.5023
47,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",52,"""Farmers want to learn from the scientists,"" said Rosenzweig. ""Showing them how they’re collecting the data and what they’re finding. There’s a huge educational opportunity to transfer that knowledge from the scientists to the farmers and vice versa. The farmers are also seeing lots of things that scientists might not necessarily catch.""",['SDG_4'],,['SDG_4'],0.6597
51,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",74,"Through the program, General Mills learned that the best science-based intentions can fall flat when they bump up against reality. According to Rosenzweig, the weather is the biggest unexpected challenge faced by any farmer and last year there was a record-breaking dry climate in the summer and fall in Canada followed by a wet spring. The perfect breeding ground for grasshoppers. The increase in grasshoppers created huge yield reductions as the pests ate crops.",['SDG_13'],,['SDG_13'],0.93
53,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",31,"According to Rosenzweig, even though the farmers were trying to spray fewer pesticides as part of their regenerative agriculture plan, they had to give in to control the massive grasshopper influx.",,,,0.0
55,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",45,"""So while [the farmers] are working towards establishing a healthy ecosystem with predator populations and general insect diversity to control against these pest outbreaks, until you have a system that’s really humming, you are still vulnerable to a lot of these pest outbreaks,"" he said.",,,,0.2023
57,https://www.greenbiz.com/article/general-mills-danone-pilots-provide-proof-regenerative-agriculture-success,"General Mills, Danone pilots provide proof for regenerative agriculture success",51,"During its pilot, Danone also learned that no-till agriculture didn’t work for farms where the ground is tough and full of clay. According to Camu, it compacts too fast and makes it impossible to plant anything without tillage, so they had to dial back up the tillage at those specific farms.",,,,-0.128
