id,link,title,text_length,text,aurora,OSDG,combined,sentiment
0,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,31,"(Bloomberg) -- After ditching big chunks of its chocolate and ice cream businesses, Nestle SA Chief Executive Officer Mark Schneider is embracing healthier living by bulking up on vitamins and supplements.",,,,0.0
2,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,60,"The world’s largest food company on Monday confirmed it’s in discussions to acquire vitamin maker Bountiful Co., whose brands include Nature’s Bounty. Owner KKR & Co. was said to have been planning an IPO valuing the firm at more than $6 billion, though an acquisition by Nestle could preempt the initial public offering, a person familiar with the matter said.",,,,0.5719
4,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,94,"Nestle’s move comes four years after Schneider dove into the field of vitamins and supplements in his first year as CEO in 2017 with the $2.3 billion acquisition of Atrium Innovations Inc. Schneider has made more than 50 deals since he took over at the helm, disposing of lagging businesses like U.S. chocolate and mass-market bottled water, and folding Nestle’s ice cream brands into a joint venture there. He strengthened the Swiss company’s high-growth categories with smaller transactions in pet care and also splurged $7.15 billion on a deal to market Starbucks coffee products.",,,,0.7506
6,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,34,"“This remains another example of how the company can manage via portfolio reshuffling its transition from coffee/pet to a more diverse mix in the coming years,” Citi analyst Cedric Besnard, wrote in a note.",,,,0.0
8,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,28,A potential deal for Bountiful would accelerate Nestle’s strategy of buying larger brands of vitamins as it tries to gain pricing power and appeal to high-spending health-conscious consumers.,,,,0.5267
10,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,58,"The approach has delivered, with Nestle last week reporting sales growth at double the pace analysts predicted. Supplements and minerals that boost the immune system are in high demand, and e-commerce has become an effective way to sell such products, the company said. Nestle Health Science’s revenue rose almost 10% in the first quarter on an adjusted basis.",,,,0.8442
12,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,29,"Nestle shares have gained more than 70% since Schneider became CEO, and the company is worth more than $300 billion. The stock was little changed Monday morning in Zurich.",,,,0.6908
16,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,45,"Bountiful sells a wide range of vitamins that are available in retail chains such as Walmart, CVS and Rite Aid. Supplements and vitamins are attractive targets during the pandemic, which has boosted demand for products that are advertised as helping consumers’ health and immune systems.",,,,0.8074
20,https://finance.yahoo.com/news/nestle-talks-acquire-nature-bounty-171854984.html,Nestle Is in Talks to Acquire Nature’s Bounty Owner,39,"Big consumer-goods companies have increasingly been interested in the vitamins, minerals and supplements sector, and the area builds on Nestle’s desire to push more into healthy, medical nutrition and self-care trends, according to Bruno Monteyne, an analyst at Bernstein.",,,,0.8115
31,http://www.tribpub.com/gdpr/mcall.com/,We are currently unavailable in your region,48,"Unfortunately, our website is currently unavailable in your country. We are engaged on the issue and committed to looking at options that support our full range of digital offerings to your market. We continue to identify technical compliance solutions that will provide all readers with our award-winning journalism.",,,,0.7003
32,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,49,"JAKARTA, Indonesia, Jan. 19, 2021 /PRNewswire/ -- Nestlé, one of the world's leading food, nutrition, health and wellness companies, has formed a new partnership in Indonesia with Plug and Play, a global innovation platform headquartered in Silicon Valley in a bid to drive its innovation efforts across Southeast Asia.",,,,0.8591
34,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,36,"(From left) Mercy Setiawan, VP. Corporate Relations of GK-Plug and Play, and Guy Kellaway, Communication Director of Nestle Indonesia, in the handover of a collaboration token between Nestlé and GK-Plug and Play on December 21, 2020.",,['SDG_11'],['SDG_11'],0.743
36,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,35,"Through this partnership, Nestlé will be able to leverage Plug and Play's innovation expertise and ecosystem of startups, corporations and investors, enabling the company to accelerate its innovation capabilities for future food technologies and solutions.",,,,0.7096
38,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,53,"""I have witnessed the decline of many traditional and conservative companies because they failed to adapt to rapidly evolving industries. We are really proud that Nestlé Indonesia is partnering with us to embark on this pursuit of innovation and transformative excellence in the food industry."" Halim Hartono, Director of GK-Plug and Play .",,,,0.8479
40,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,47,"Plug and Play was invited by President Joko Widodo (Jokowi) back in 2016 to drive the country's innovation efforts within its startup ecosystem. Since then, they have created a thriving ecosystem of like-minded innovators where corporations, startups, investors, and government entities can collaborate to drive further innovation.",,,,0.8225
44,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,51,"""For over 150 years, we have continuously focused on innovating our brands, products, systems and technologies in order to remain relevant, and competitive. We look forward to this exciting partnership with GK Plug and Play which will drive our innovation efforts in the region,"" Guy Kellaway, Communication Director of Nestlé Indonesia.",,,,0.9011
46,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,34,"Plug and Play is a global innovation platform that brings together the most promising startups with the world's leading corporations to drive investment, foster innovation, and secure collaborative partnerships across an array of verticals.",,,,0.8999
48,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,31,"Nestlé joins Plug and Play with 6 other corporations in their GK-Plug and Play Program, including Astra International, Bank BNI, Bank BCA, ITM, Sinar Mas Group, and the Global Innovation Alliance.",,,,0.7506
54,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,69,"Nestlé Indonesia is a subsidiary of Nestlé S.A., the world largest food and beverages manufacturer, having its headquarter in Vevey, Switzerland. As nutrition, health and wellness company, Nestlé has been in operation over 150 years and present in 187 countries with its more than 2,000 brands that have similar purpose to unlock the power of food to enhance quality of life for everyone, today and for generations to come.",['SDG_9'],,['SDG_9'],-0.296
56,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,38,"Nestlé Indonesia was established in 1971 and employed about 3.600 employees. Nestlé Indonesia is operating 3 factories in Indonesia producing milk, foods and beverages with well-known brands such as DANCOW, MILO, NESCAFÉ, LACTOGROW, CERELAC, KITKAT, BEAR BRAND, etc.",,,,0.0
58,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,41,"Nestlé is a food and beverages company with the largest research and development centers in the world involving 5.000 employees in 23 locations around the world. In Asia, Nestlé owns its research and development centers in Beijing, Shanghai, Singapura and Gurgaon.",['SDG_14'],,['SDG_14'],0.0
62,https://finance.yahoo.com/news/nestle-announces-partnership-gk-plug-030000957.html,Nestle announces partnership with GK-Plug and Play to drive its innovation efforts in Indonesia,109,"Plug and Play is a global innovation platform. Headquartered in Silicon Valley, it has built accelerator programs, corporate innovation services, and an in-house VC to make technological advancement progress faster than ever before. Since inception in 2006, Its programs have expanded worldwide to include a presence in over 30 locations globally, giving startups the necessary resources to succeed in Silicon Valley and beyond. With over 30,000 startups and 400 official corporate partners, it has created the ultimate startup ecosystem in many industries. Companies in its community have raised over $9 billion in funding, with successful portfolio exits including Danger, Dropbox, Lending Club and PayPal. For more information, visit https://www.plugandplayapac.com",,,,0.9468
65,https://www.nytimes.com/2021/04/29/us/nestle-water-california.html,"Facing Droughts, California Challenges Nestlé Over Water Use",53,"“Should we really be pulling water out of a national forest to stick in plastic bottles to sell at a significant markup?” said Michael O’Heaney, the executive director of Story of Stuff, an environmental advocacy group based in Berkeley, Calif., that has filed complaints against Nestlé. “It’s a poor use of our resources.”",,,,-0.6124
67,https://www.nytimes.com/2021/04/29/us/nestle-water-california.html,"Facing Droughts, California Challenges Nestlé Over Water Use",60,"The U.S. Forest Service charges the company an annual fee of $2,100 to maintain its infrastructure in the Strawberry Creek area, according to The Desert Sun, which investigated Nestlé’s activities in California in 2015 and reported that the Forest Service had been allowing the company to take water from the forest using a permit that had a 1988 expiration date.",,,,-0.2732
69,https://www.nytimes.com/2021/04/29/us/nestle-water-california.html,"Facing Droughts, California Challenges Nestlé Over Water Use",52,"Battles over the water diversion carried out by Nestlé — and, now, BlueTriton — have been brewing for years. State officials released a report on Nestlé’s water collection in 2017, and a revised report last week. Both said the company was diverting more water than had been permitted, which the company denies.",,,,-0.6597
71,https://www.nytimes.com/2021/04/29/us/nestle-water-california.html,"Facing Droughts, California Challenges Nestlé Over Water Use",36,"“This investigation has been a long time coming, and it’s taken several years due to its complexity, from both a technical and a legal standpoint,” said Robert Cervantes, a supervising engineer with the state’s water board.",,,,0.128
75,https://www.nytimes.com/2021/04/29/us/nestle-water-california.html,"Facing Droughts, California Challenges Nestlé Over Water Use",50,"The water board officials argue that BlueTriton is allowed to collect only about 2.4 million gallons of surface water in the area annually. That restriction applies to water in creeks and streams, as well as the springs that contribute to creeks and streams — not to water that percolates underground.",,,,-0.34
77,https://www.nytimes.com/2021/04/29/us/nestle-water-california.html,"Facing Droughts, California Challenges Nestlé Over Water Use",27,"The company said it collected 59 million gallons from the water system last year, of which about 40 million gallons of overflow were returned to the area.",,,,0.0
80,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,52,Nestlé (NESN.S) is ramping up its M&A dosage. The Swiss food giant is buying brands such as Solgar and Puritan’s Pride from supplement maker The Bountiful. The desire to boost immunity during Covid-19 pepped up sales. Chief Executive Mark Schneider needs consumers to keep swallowing the hype that such pills actually work.,,['SDG_3'],['SDG_3'],0.7783
82,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,79,"KKR (KKR.N) bought Bountiful from fellow private equity group Carlyle in 2017, just in time for last year’s jump in spending on vitamins and other immune-system tonics. Euromonitor estimates worldwide sales grew 7% to $116 billion. Bountiful outpaced that with 10% top-line growth in the year to September. That explains why Schneider is paying almost 17 times EBITDA for the 12 months to March. By contrast, Carlyle (CG.O) took the group private on an 8 times multiple in 2010.",,,,0.3818
84,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,113,"Schneider will have to work hard to ensure a healthy return. Nestlé hasn’t disclosed operating profit for the brands it’s buying. However, it’s safe to assume those brands account for the lion’s share of Bountiful’s earnings, given that they make up the bulk of the U.S. group’s top-line. Assume, generously, that Nestle is swallowing all Bountiful’s operating profit, and that it grows 10% this year, in line with last year’s revenue growth. That equates to $217 million of operating profit. Ignoring any synergies and after Nestlé's average 21% tax rate, that yields a 3% return on investment, below the 4.6% cost of capital for healthcare product groups as estimated by NYU Stern analysts.",,,,0.9607
86,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,56,"On the plus side, the so-called “wellness trend” means consumers are happy to pay through the nose for health and beauty products. That paints Bountiful in a more attractive light – at least superficially. The scientific evidence is mixed. A 2020 study from the British Medical Journal, for example, found dietary supplement consumption was largely unnecessary.",,,,0.8832
88,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,71,"Besides needing to convince people that they actually work, Nestlé has its work cut out persuading them its pricey pills are superior to cheaper ones. Bountiful’s sales, general and administrative expenses were almost 30% of revenue in the year to September, according to its U.S. initial public offering filing. The document also cited consumer perceptions as the top risk factor. Schneider will have to splash the cash to keep punters hooked.",,,,0.4767
94,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,25,- Swiss food giant Nestlé on April 30 said it had agreed to buy some health-related brands from supplement maker The Bountiful for $5.75 billion.,,,,0.2732
96,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,38,"- The acquisition includes Nature's Bounty, Solgar, Osteo Bi-Flex and Puritan’s Pride, as well as the company's U.S. private label business. The brands will be integrated into Nestlé’s Health Science unit, which includes peanut-allergy treatment specialist Aimmune Therapeutics.",,,,0.5423
98,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,31,"- Bountiful’s Pure Protein, Body Fortress and MET-Rx sports and active nutrition brands, as well as Dr. Organic and its Canadian over-the-counter business, are not included in the deal, Nestlé said.",,,,0.5859
100,https://www.reuters.com/breakingviews/nestls-vitamin-push-is-58-bln-placebo-2021-04-30/,Nestlé’s vitamin push is $5.8 bln placebo,20,"- Bountiful is majority-owned by private equity firm KKR, which acquired a majority stake from buyout group Carlyle in 2017.",,,,0.0
107,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,26,The world’s largest food and beverage company launched the plant-based line at an event in Beijing. The range is already available in Australia and New Zealand.,,,,0.128
109,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,29,"According to Nestlé, the vegan range includes burgers, sausages, nuggets, and mince. It also features plant-based products like braised meatballs, pork belly, a spicy wok, and kung pao chicken.",,,,0.3612
111,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,26,"In a statement, Rashid Qureshi, the CEO of Nestlé Greater China Region, said Nestlé’s goal is to make plant-based food a “part of everyone’s everyday life.”",,,,0.3612
113,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,43,"“We’re excited to offer our delicious and nutritious products in China,” Qureshi said. “We see China leading the trend towards a new generation of plant-based food in Asia, as people look for options that are good for them and good for the planet.”",,,,0.8979
121,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,26,"According to a 2019 report by London-based market research firm Euromonitor International, China’s vegan food market is expected to be worth nearly $12 billion by 2023.",,,,0.2263
123,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,35,"Even China’s government is embracing veganism. In 2016, the Chinese government released an updated set of dietary guidelines. The recommendation outlined the need to reduce meat consumption in order to combat diabetes and cardiovascular diseases.",,,,-0.34
125,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,53,"But despite the surge in interest in veganism, Nestlé says China’s plant-based food market is still relatively new. According to Nini Chiang, the launch of Harvest Gourmet “marks the beginning of an innovative new era of localized plant-based food in China.” Chiang is Nestlé’s GCR’s CMO and Head of Confectionary and Plant-Based Food.",,,,0.7096
127,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,44,"In order to closely imitate the taste of animal-derived meat, Nestlé creates the vegan range using cutting-edge technology. The company says it took more than 30 years to perfect the technology. The technology combines “a deep understanding of Chinese consumers and their culinary needs.”",,,,0.7003
129,https://www.livekindly.co/nestles-vegan-range-available-china/,Nestlé’s Vegan Range Is Now Available in China,31,Nestlé will open Harvest Gourmet’s flagship store in Beijing’s retail megastore Tmall this month. The company also plans to launch in Hema offline stores in Beijing and Shanghai later this year.,,,,-0.0258
130,https://www.prnewswire.com/news-releases/dada-groups-jddj-and-nestle-china-launched-nutritious-breakfast-live-streaming-e-commerce-event-301245383.html,Dada Group's JDDJ and Nestlé China Launched Nutritious Breakfast Live-streaming E-commerce Event,63,"As a world-renowned food and Fortune 500 company, Nestlé aims to offer plenty of choices for coffee, milk powder, breakfast cereal, and condensed milk for consumers in China. Mr. Chen pointed out that Nestlé has been operating under the concept of ""Good Food, Good Life"" since its inception more than 150 years ago, providing high-quality and cost-effective products, especially nutritious breakfast for consumers.",['SDG_9'],,['SDG_9'],0.7003
132,https://www.prnewswire.com/news-releases/dada-groups-jddj-and-nestle-china-launched-nutritious-breakfast-live-streaming-e-commerce-event-301245383.html,Dada Group's JDDJ and Nestlé China Launched Nutritious Breakfast Live-streaming E-commerce Event,81,"In this broadcasting room, Mr. Chen introduced Nestlé products to online audience as the ""Nestlé Nutrition Appraisal Officer"" and explained how to start an energy day with a meticulously prepared breakfast. The host also introduced many Nestlé's popular products and discussed about nutrition, balanced diet and applicable users together with Mr. Chen and Mr. Xia. When consumers placed online orders on the platform, the products were delivered immediately from JDDJ's partnering retailer stores and consumers received their orders within one hour.",,,,0.7003
134,https://www.prnewswire.com/news-releases/dada-groups-jddj-and-nestle-china-launched-nutritious-breakfast-live-streaming-e-commerce-event-301245383.html,Dada Group's JDDJ and Nestlé China Launched Nutritious Breakfast Live-streaming E-commerce Event,49,"Mr. Jiang stated that JDDJ's livestreaming e-commerce has cooperated with over 50 top FMCG brands and over 100 retailers. Consumers can watch and place order online, receive products within one-hour. The live broadcast helps retailers enrich sales scenarios and improve sales numbers, which is highly recognized by the market.",,,,0.743
136,https://www.prnewswire.com/news-releases/dada-groups-jddj-and-nestle-china-launched-nutritious-breakfast-live-streaming-e-commerce-event-301245383.html,Dada Group's JDDJ and Nestlé China Launched Nutritious Breakfast Live-streaming E-commerce Event,91,"Dada Group and Nestlé China's partnership began in June 2019. In September 2020, Dada Group and Nestlé China announced that they have expanded their strategic partnership to collaborate on a new data-driven retail model, under which Dada group would promote Nestlé China's sales growth, brand marketing and user operation. Moreover, Dada Group also signed a category flagship cooperation agreement with Nestlé China, whereby Nestlé China would build as a ""flagship"" brand for the two categories of coffee and adult milk powder on JDDJ, promoting Nestlé China's category penetration and sales growth.",,,,0.9169
138,https://www.prnewswire.com/news-releases/dada-groups-jddj-and-nestle-china-launched-nutritious-breakfast-live-streaming-e-commerce-event-301245383.html,Dada Group's JDDJ and Nestlé China Launched Nutritious Breakfast Live-streaming E-commerce Event,125,"Dada Group first piloted the one-hour livestreaming e-commerce in early 2020, where attendees could watch streams of various promotions on popular products, view demos, share feedback and make purchases in real time. Orders during the event were immediately sent out from a store close to the buyer (generally less than five kilometers away) and delivered by Dada riders within one hour. The innovative live-streaming e-commerce model helps Nestlé China connect the online and offline sales system, improve sales of offline stores, and bring a new sales growth driver to the O2O channel. At the same time, the broadcasting room reaches out young customers who are rarely covered by traditional offline channels, and has achieved significant sales results as it becomes a new engine for sales.",,,,0.926
142,https://www.prnewswire.com/news-releases/dada-groups-jddj-and-nestle-china-launched-nutritious-breakfast-live-streaming-e-commerce-event-301245383.html,Dada Group's JDDJ and Nestlé China Launched Nutritious Breakfast Live-streaming E-commerce Event,124,"Dada Group is a leading platform of local on-demand retail and delivery in China. It operates JDDJ, one of China's largest local on-demand retail platforms for retailers and brand owners, and Dada Now, a leading local on-demand delivery platform open to merchants and individual senders across various industries and product categories. The Company's two platforms are inter-connected and mutually beneficial. The Dada Now platform enables improved delivery experience for participants on the JDDJ platform through its readily accessible fulfillment solutions and strong on-demand delivery infrastructure. Meanwhile, the vast volume of on-demand delivery orders from the JDDJ platform increases order volume and density for the Dada Now platform. In June 2020, Dada Group began trading on the Nasdaq Global Market, under the ticker symbol ""DADA.""",['SDG_17'],,['SDG_17'],0.875
146,https://www.prnewswire.com/news-releases/dada-groups-jddj-and-nestle-china-launched-nutritious-breakfast-live-streaming-e-commerce-event-301245383.html,Dada Group's JDDJ and Nestlé China Launched Nutritious Breakfast Live-streaming E-commerce Event,88,"Nestlé was founded in 1866, headquartered in Vevey Switzerland. It is a world-renowned food and beverage company with the purpose ""We unlock the power of food to enhance quality of life for everyone, today and for generations to come"". Through our more than 2,000 brands ranging from global icons, we are able to offer a wide portfolio of products, covering infant nutrition, water, coffee, pet food, professional solutions, dairy products, health science, ice cream, culinary and other areas. In 2020, its total reported sales is CHF 84.3 billion.",['SDG_9'],['SDG_2'],"['SDG_2', 'SDG_9']",0.1779
148,https://www.prnewswire.com/news-releases/dada-groups-jddj-and-nestle-china-launched-nutritious-breakfast-live-streaming-e-commerce-event-301245383.html,Dada Group's JDDJ and Nestlé China Launched Nutritious Breakfast Live-streaming E-commerce Event,55,"China is Nestlé's second largest market in the world. Beijing is the headquarters of Nestlé in Greater China. At present, Nestlé China operates 23 factories, 5 innovation centers and 3 R&D centers, 1 dairy farming institute 1 Nescafe Coffee Center, 1 Food Safety Institute, 4 Customer Engagement Centers and more than 26,000 Staff in China.",,,,0.872
157,https://www.arkansasonline.com/news/2020/dec/24/nestle-plant-expansion-to-add-100-jobs-in-state/,Nestle plant expansion to add 100 jobs in state,31,"Nestle USA is expanding its Jonesboro plant, the company said Wednesday, investing $100 million and adding a new line for the production of Hot Pockets, which will create 100 more jobs.",,,,0.2732
