id,link,title,text length,text
0,https://www.energylivenews.com/2020/10/29/orsted-starts-building-298mw-onshore-wind-farm-in-nebraska/,Ørsted starts building 298MW onshore wind farm in Nebraska,13,Ørsted has started the construction of a 298MW onshore wind farm in Nebraska.
1,https://www.energylivenews.com/2020/10/29/orsted-starts-building-298mw-onshore-wind-farm-in-nebraska/,Ørsted starts building 298MW onshore wind farm in Nebraska,0,
2,https://www.energylivenews.com/2020/10/29/orsted-starts-building-298mw-onshore-wind-farm-in-nebraska/,Ørsted starts building 298MW onshore wind farm in Nebraska,16,It follows the acquisition and final investment decision of the Haystack Wind project in Wayne County.
4,https://www.energylivenews.com/2020/10/29/orsted-starts-building-298mw-onshore-wind-farm-in-nebraska/,Ørsted starts building 298MW onshore wind farm in Nebraska,20,It will be located adjacent to Ørsted’s 230MW Plum Creek wind farm and use existing interconnection infrastructure in SPP North.
6,https://www.energylivenews.com/2020/10/29/orsted-starts-building-298mw-onshore-wind-farm-in-nebraska/,Ørsted starts building 298MW onshore wind farm in Nebraska,29,The Haystack project is expected to contribute $4 million (£3m) per year in local taxes and landowner payments to the community and employ 300 construction workers at its peak.
8,https://www.energylivenews.com/2020/10/29/orsted-starts-building-298mw-onshore-wind-farm-in-nebraska/,Ørsted starts building 298MW onshore wind farm in Nebraska,43,"Vishal Kapadia, CFO Ørsted Onshore said: “The acquisition of Haystack adds another large-scale project in a region with robust wind resource to our Onshore portfolio and is a further reflection of our continuing strategy to supplement our core development activities with opportunistic acquisitions.”"
10,https://www.energylivenews.com/2020/10/29/orsted-starts-building-298mw-onshore-wind-farm-in-nebraska/,Ørsted starts building 298MW onshore wind farm in Nebraska,14,The wind farm is scheduled to come online in the fourth quarter of 2021.
11,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,41,"For more than 40 years, residents and community leaders in Newark have raised concerns about poor air quality and growing health problems, particularly those impacting children, in and around the Port of Newark. Ørsted officials said they intend to fix that."
13,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,33,"Ørsted announced Wednesday it will partner with Zeem Solutions to enable the rollout of 50 electric drayage trucks, associated vehicle infrastructure and mobility training programs for area residents at the Port of Newark."
15,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,28,"The $11 million partnership is a part of Ørsted’s Ocean Wind 2 bid that is being considered by the New Jersey Board of Public Utilities, company officials said."
17,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,113,Newark and Elizabeth are situated in and along major thoroughfares and are adjacent to one of the largest and most active ports on the East Coast. This proximity results in thousands of daily truck trips traversing the Port of Newark. Drayage trucks are the cause of 25% of all marine terminal emissions. These emissions are some of the most harmful — they include the small bits of particulate matter that lodge inside our lungs. The effects of these emissions manifest themselves within the local communities in the form of higher levels of respiratory and cardiac diseases and other complications brought on by daily exposure to high levels of particulate matter and other emissions.
19,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,51,"The partnership, outlined in Ørsted’s 1,200 megawatt Ocean Wind 2 bid that was submitted in December, will build a state-of-the-art truck depot, including charging infrastructure and battery storage, that will house, charge and service 200 trucks. Of those 200 trucks, 50 will be electric drayage trucks made possible by Ørsted’s investment."
21,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,12,The depot and the electric trucks will have the following unique features:
23,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,10,They will be powered by the Ocean Wind 1 project;
25,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,21,"The depot will offer worker training and serve as a certification center, placing New Jersey in a clean energy leadership role;"
27,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,18,"The depot will have battery storage, which will provide an added measure of resiliency to the facility ;"
29,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,13,The depot provides a model for other New Jersey port communities to replicate.
31,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,28,"David Hardy, CEO of offshore North America, Ørsted, said the company will be able to move swiftly if Ocean Wind 2 were to be selected by the BPU."
33,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,35,"“Our initiative complements Gov. (Phil) Murphy’s recent announcement to deliver $100 million in clean mobility projects for the state,” he said. “Ørsted shares the state’s vision of providing environmental justice for underprivileged New Jersey communities.”"
35,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,9,"Paul Gioupis, co-founder and CEO of Zeem Solutions, agreed."
37,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,50,"“Our partnership with Ørsted will accelerate Zeem’s opening of our first East Coast commercial EV depot,” he said. “The high demand for New Jersey fleets wanting to electrify provides the opportunity to leverage renewable resources for vehicle charging, mitigate harmful emissions and positively impact air quality around the Newark Port."
39,https://www.roi-nj.com/2021/04/07/industry/energy-utilities/orsted-unveils-electric-truck-initiative-aimed-at-improving-air-quality-in-communities-surrounding-port-of-newark/,Ørsted unveils electric truck initiative aimed at improving air quality in communities surrounding Port of Newark,31,"“Additionally, Zeem will be providing skilled workforce training and employment opportunities directly in the surrounding disadvantaged community. The Ørsted/Zeem partnership will facilitate a sustainable operations model with environmental and community benefits.”"
40,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",36,"LONDON (Reuters) - BP BP.L and Danish renewable energy group Orsted ORSTED.CO have partnered to develop zero-carbon hydrogen at a German oil refinery, BP's first full-scale project in a sector that is expected to grow rapidly."
42,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",20,"FILE PHOTO: The logo of BP is seen at a petrol station in Kloten, Switzerland October 3, 2017. REUTERS/Arnd Wiegmann"
44,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",26,The project will produce so-called green hydrogen at the Lingen refinery in north-west Germany through the electrolysis of water using wind power from the North Sea.
46,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",38,"It is in its early stages and initially aims to build a 50 megawatt (MW) electrolyser to replace 20% of natural gas-based hydrogen at the plant, BP said in a statement. Production is expected to start in 2024."
48,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",33,"The project could be expanded to up to 500 MW at a later stage to replace all of Lingen’s fossil fuel-based hydrogen, Louise Jacobson Plutt, BP’s senior vice president for hydrogen, told Reuters."
50,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",17,Hydrogen is today mostly used in the industrial sector as feedstock to make products such as fuels.
52,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",35,But the use of green hydrogen is expected to grow sharply in the coming decades as the European Union and governments around the world seek to reduce greenhouse gas emissions to net zero by 2050.
54,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",14,BP aims to expand its hydrogen output to 10% of the market by 2030.
56,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",28,"Green hydrogen is however much more expensive than natural gas-based, or grey, hydrogen. Reducing its cost of production will be key to expand the use of the fuel."
58,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",34,"“We see a path to (price) parity with grey hydrogen by the end of the decade” as more green hydrogen projects are launched and technology advances, Anders Nordstrom, Orsted vice president for hydrogen said."
60,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",9,The projected cost of the projected was not disclosed.
62,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",9,(This story corrects name of refinery in paragraph two.)
63,https://www.windpowermonthly.com/article/1709080/orsted-sells-%E2%82%AC14bn-transmission-assets-worlds-largest-wind-farm,Ørsted sells €1.4bn transmission assets for world’s largest wind farm,10,Ørsted sells €1.4bn transmission assets for world’s largest wind farm
65,https://www.windpowermonthly.com/article/1709080/orsted-sells-%E2%82%AC14bn-transmission-assets-worlds-largest-wind-farm,Ørsted sells €1.4bn transmission assets for world’s largest wind farm,20,Mitsubishi-led JV has bought transmission assets for the UK's Hornsea One wind farm – the world’s largest operational offshore site
67,https://www.windpowermonthly.com/article/1709080/orsted-sells-%E2%82%AC14bn-transmission-assets-worlds-largest-wind-farm,Ørsted sells €1.4bn transmission assets for world’s largest wind farm,3,by Craig Richard
68,https://nawindpower.com/new-london-signs-host-community-agreement-with-orsted-eversource-jv,New London Inks Host Community Agreement with Orsted/Eversource JV,51,"Connecticut Gov. Ned Lamont says the city of New London and the Ørsted/Eversource joint venture (JV) have signed a host community agreement (HCA) to facilitate the redevelopment of State Pier into a modern, heavy-lift facility capable of supporting offshore wind turbine staging and assembly and a broader range of cargo businesses."
70,https://nawindpower.com/new-london-signs-host-community-agreement-with-orsted-eversource-jv,New London Inks Host Community Agreement with Orsted/Eversource JV,58,Lamont says the agreement provides New London with significant economic opportunity as it becomes a regional epicenter of offshore wind development. The HCA guarantees at least $5.25 million in payments to the city over seven years. The agreement also provides for the city’s revenue to increase as Connecticut’s use of renewable offshore wind expands over the next decade.
72,https://nawindpower.com/new-london-signs-host-community-agreement-with-orsted-eversource-jv,New London Inks Host Community Agreement with Orsted/Eversource JV,74,"“This project represents exactly what I have wanted to see at the local level since I came into office – local investment, job growth, development and a focus on providing for a better environment and future for our state,” says Lamont. “I am proud to see this agreement come to fruition, and I am especially proud of our private sector partners working with us in the public sector to make this project a reality.”"
74,https://nawindpower.com/new-london-signs-host-community-agreement-with-orsted-eversource-jv,New London Inks Host Community Agreement with Orsted/Eversource JV,79,"The HCA provides $750,000 annually to New London for seven years during the construction of the Revolution Wind, South Fork Wind and Sunrise Wind projects. If Eversource and Ørsted win any Connecticut offshore wind procurement during those seven years and JV work continues at the port, the annual payment will extend through year 10 of the host community agreement. The HCA builds on an earlier Ørsted and Eversource commitment for the first two years of operations at State Pier."
76,https://nawindpower.com/new-london-signs-host-community-agreement-with-orsted-eversource-jv,New London Inks Host Community Agreement with Orsted/Eversource JV,87,"The HCA is in furtherance of the $157 million public-private harbor development agreement (HDA) between Connecticut and the JV to transform the State Pier into a modernized, heavy-lift facility capable of operating as a critical part of the burgeoning U.S. offshore wind supply chain. It coincides with the HDA’s 10-year lease agreement that the Ørsted and Eversource signed to utilize the State Pier as a wind turbine generator pre-assembly and staging hub for at least the Revolution Wind, Sunrise Wind and South Fork Wind offshore wind projects."
78,https://nawindpower.com/new-london-signs-host-community-agreement-with-orsted-eversource-jv,New London Inks Host Community Agreement with Orsted/Eversource JV,58,"If the Ørsted and Eversource JV continue operations at the State Pier beyond the initial terms of the HDA, the HCA provides an option to negotiate additional payments beyond the initial 10 years. In 2019, the city also signed a revenue-sharing agreement with the Connecticut Port Authority, which will benefit the city as State Pier sees increased activity."
80,https://nawindpower.com/new-london-signs-host-community-agreement-with-orsted-eversource-jv,New London Inks Host Community Agreement with Orsted/Eversource JV,4,Photo: Gov. Ned Lamont
