id,link,title,text length,text,SDG
40,https://www.reuters.com/article/us-bp-orsted-hydrogen-idUKKBN27Q0SI,"BP, Orsted launch green hydrogen project at German oil refinery",36,"LONDON (Reuters) - BP BP.L and Danish renewable energy group Orsted ORSTED.CO have partnered to develop zero-carbon hydrogen at a German oil refinery, BP's first full-scale project in a sector that is expected to grow rapidly.",['SDG_7']
87,https://www.power-technology.com/news/orsted-offshore-wind/,Ørsted to divest 50% stake in Greater Changhua 1 Offshore wind farm,25,"“As an investor with vast experience in renewable energy, we seek this kind of greenfield opportunity to contribute to the transition towards a low‑carbon economy.",['SDG_7']
160,https://www.windpowermonthly.com/article/1694160/orsteds-next-ceo-mads-nipper,"Who is Ørsted’s next CEO, Mads Nipper?",34,"Mads Nipper leaves Danish pump manufacturer Grundfos after six years as the company’s CEO and group president, with Ørsted unveiling their next CEO as the developer increasingly feels the impacts of the coronavirus pandemic.",['SDG_3']
168,https://www.windpowermonthly.com/article/1694160/orsteds-next-ceo-mads-nipper,"Who is Ørsted’s next CEO, Mads Nipper?",31,"To meet its ‘climate positive’ target, Nipper’s former company must not only have net-zero carbon emissions, but also remove additional carbon dioxide from the atmosphere by the end of the decade.",['SDG_13']
172,https://www.windpowermonthly.com/article/1694160/orsteds-next-ceo-mads-nipper,"Who is Ørsted’s next CEO, Mads Nipper?",36,"A fan of AC/DC (the Australian rock band, not the electricity, necessarily) and Liverpool FC, Nipper will need to develop strategies for meeting these targets in the coming years, while getting to grips the energy sector.",['SDG_7']
194,https://www.windpowermonthly.com/article/1694160/orsteds-next-ceo-mads-nipper,"Who is Ørsted’s next CEO, Mads Nipper?",49,Its profits were squeezed in the first half of 2020 as the coronavirus pandemic hit – mirroring Ørsted’s fortunes this year. The developer’s own profits were squeezed in H1 2020 with its net result in the second quarter pushed into a loss as the effects of the pandemic increased.,['SDG_3']
202,https://www.windpowermonthly.com/article/1694160/orsteds-next-ceo-mads-nipper,"Who is Ørsted’s next CEO, Mads Nipper?",32,"The coronavirus pandemic has caused all companies to reassess and change their strategies, and Nipper will likely still have to contend with the challenges it poses when he takes over in January.",['SDG_3']
226,https://www.prnewswire.com/news-releases/pseg-and-orsted-complete-psegs-acquisition-of-25-interest-in-ocean-wind-301267038.html,PSEG and Ørsted Complete PSEG's Acquisition of 25% Interest in Ocean Wind,52,"Ocean Wind is an 1,100-megawatt offshore wind farm located 15 miles off the coast of southern New Jersey. The recent issuance of a Notice of Intent for Ocean Wind from the federal Bureau of Ocean Energy Management is further progress along the timeline of New Jersey's groundbreaking investment in offshore wind power.",['SDG_7']
228,https://www.prnewswire.com/news-releases/pseg-and-orsted-complete-psegs-acquisition-of-25-interest-in-ocean-wind-301267038.html,PSEG and Ørsted Complete PSEG's Acquisition of 25% Interest in Ocean Wind,64,"""From creating jobs and strengthening the economy to investing in infrastructure and bringing gigawatts of renewable energy to our coast, offshore wind is critical to New Jersey's future,"" PSEG Chairman, President and CEO Ralph Izzo said. ""PSEG is pleased to close on its investment in Ocean Wind and looks forward to working with Ørsted to bring clean energy and new industry to the state.""",['SDG_7']
244,https://www.prnewswire.com/news-releases/pseg-and-orsted-complete-psegs-acquisition-of-25-interest-in-ocean-wind-301267038.html,PSEG and Ørsted Complete PSEG's Acquisition of 25% Interest in Ocean Wind,116,"The Ørsted vision is a world that runs entirely on green energy. Ørsted develops, constructs, and operates offshore and onshore wind farms, solar farms, energy storage facilities, and bioenergy plants, and provides energy products to its customers. Ørsted ranks as the world's most sustainable energy company in Corporate Knights' 2021 index of the Global 100 most sustainable corporations in the world and is recognized on the CDP Climate Change A List as a global leader on climate action. Headquartered in Denmark, Ørsted employs 6,179 people. Ørsted's shares are listed on Nasdaq Copenhagen (Orsted). In 2020, the group's revenue was DKK 52.6 billion (EUR 7.1 billion). Visit orsted.com or follow us on Facebook, LinkedIn, Instagram, and Twitter.",['SDG_7']
