id,link,title,text_length,text,aurora,OSDG,combined,sentiment
0,https://www.reuters.com/business/energy/orsted-bids-north-sea-renewable-energy-island-2021-04-22/,Orsted plans bid for North Sea renewables energy island,23,"General view of the Walney Extension offshore wind farm operated by Orsted off the coast of Blackpool, Britain September 5, 2018. REUTERS/Phil Noble",,,,0.4588
2,https://www.reuters.com/business/energy/orsted-bids-north-sea-renewable-energy-island-2021-04-22/,Orsted plans bid for North Sea renewables energy island,29,Wind farm developer Orsted (ORSTED.CO) plans to submit a joint bid with Danish pension fund ATP to finance and build the world's first energy island in the North Sea.,,,,0.2732
4,https://www.reuters.com/business/energy/orsted-bids-north-sea-renewable-energy-island-2021-04-22/,Orsted plans bid for North Sea renewables energy island,38,"The artificial island, which will produce and store enough green energy to cover the electricity needs of 3 million European households, was approved by Danish lawmakers in February as part of the country's ambitious climate targets. read more",,,,0.7906
6,https://www.reuters.com/business/energy/orsted-bids-north-sea-renewable-energy-island-2021-04-22/,Orsted plans bid for North Sea renewables energy island,40,"""The North Sea energy island will be a cornerstone in harnessing the Danish offshore wind resources, which can make a substantial contribution towards Denmark's and Europe's green transitions and create thousands of jobs in Denmark,"" Orsted said in a statement.",,,,0.6124
8,https://www.reuters.com/business/energy/orsted-bids-north-sea-renewable-energy-island-2021-04-22/,Orsted plans bid for North Sea renewables energy island,43,"Orsted expects the project, which will be majority owned by the Danish state, to be put out to tender next year and a decision to be made in 2023, a spokesman said. The precise terms of the tender have yet to be finalised.",,,,0.0
10,https://www.reuters.com/business/energy/orsted-bids-north-sea-renewable-energy-island-2021-04-22/,Orsted plans bid for North Sea renewables energy island,34,"The size of 18 football fields, the island's initial phase will be linked to hundreds of offshore wind turbines and supply power to households and green hydrogen for shipping, aviation, industry and heavy transport.",,,,0.0
12,https://www.reuters.com/business/energy/orsted-bids-north-sea-renewable-energy-island-2021-04-22/,Orsted plans bid for North Sea renewables energy island,42,"The energy island, which will cost about 210 billion Danish crowns ($34 billion), will be located 80km (50 miles) off Denmark's west coast. Its surrounding wind turbines will have initial capacity of 3 gigawatts and is expected to be operational around 2033.",,,,0.2732
14,https://www.reuters.com/business/energy/orsted-bids-north-sea-renewable-energy-island-2021-04-22/,Orsted plans bid for North Sea renewables energy island,33,"Orsted is the world's biggest offshore wind farm developer, having installed nearly a quarter of all offshore wind capacity, while ATP is among Europe's largest pension funds with 960 billion crowns under management.",,,,0.0
21,https://finance.yahoo.com/news/orsted-host-earnings-call-161500058.html,Orsted A/S to Host Earnings Call,697,"(Bloomberg) -- It took decades for sustainable investing to become mainstream, but now every week one giant investor after another announces their commitment to ESG.Kenneth Dart will not be joining that club.The billionaire is heir to a plastic cup fortune. More than two decades ago he renounced his U.S. citizenship and moved to the Caribbean, becoming the biggest real estate owner in the Cayman Islands. For years he invested in distressed sovereign debt with Argentina’s former President Cristina Kirchner calling him a “vulture.”And over the past six months Dart, 66, has quietly accumulated one of the classic sin investments. Through a Cayman Islands vehicle called Spring Mountain Investments, Dart has built a 7% stake in British American Tobacco that’s now worth $6 billion. Last month, Spring Mountain disclosed a separate $634 million position in rival Imperial Brands. The Financial Times first reported the firm’s tobacco investments.A small portion of the positions were entered into using total return swaps, the filings show. These types of swaps were at the center of the March implosion of family office Archegos Capital Management, causing billions in bank losses.Tobacco WagerSpring Mountain is the latest in a series of entities the publicity-shy Dart has used to buy securities. He previously set up Portfolio Services Ltd., Seneca Investments, EM Ltd., Eastern Capital and LBS Investments. In recent years these have been used to invest in obscure biotechnology stocks that make up a fraction of his fortune, estimated at $6.6 billion by the Bloomberg Billionaires Index.Susanna de Saram, a representative of Dart’s firm Dart Enterprises, declined to comment on investment decisions.Dart’s tobacco wager goes against one of the hottest trends in finance: Investing in companies that focus on environmental, social and governance factors, which in theory means corporations have long-term sustainable prospects.The tobacco industry has for decades been the antithesis of ESG investment. Dominated by a few corporate behemoths, the companies operate in a market at risk of being quashed by regulation or customers giving up -- or dying from -- the habit.Michael Bloomberg, founder and majority owner of Bloomberg News parent Bloomberg LP, has been a longtime champion of tobacco-control efforts.While a larger group of investors are shunning the stocks, it can create opportunities for those less concerned with the societal outcomes of their portfolio.Dividend YieldsTobacco stocks “were a one-way ticket up until around 2016” before concerns about new regulation, especially in the U.S., began discouraging investors, according to Bloomberg Intelligence analyst Duncan Fox.Over the past five years, the MSCI World Tobacco Index has dropped 32%. That’s punished long-term holders, but has juiced the dividends the stocks pay. British American Tobacco and Imperial Brands have dividend yields exceeding 8%.Investors may also be overstating the regulatory risks -- after all the firms have experience adapting to and profiting under new regulations --and there’s potential growth in alternative tobacco products and the new cannabis markets, Fox said.Still, there’s a reason why so many investors shun the stocks.“Smoking has been in decline for the past five decades because of what we call the ESG Squeeze: pressures from societal attitudes, regulation, and taxation,” Citigroup Inc. analyst Adam Spielman wrote in March. In 10 to 20 years there could be no smokers left in many markets, according to Jefferies analyst Owen Bennett.Read more: Smoking may disappear within a generation, analysts predictDart has made successful contrarian bets in the past. He made billions from companies such as Salomon Inc., Federal Home Loan Mortgage Corp., and in troubled sovereign debt, according to a 1995 Businessweek profile.Trained as a chemical engineer, he’s long been focused on his investment portfolio instead of the family business, Dart Container, where he no longer has a role or ownership. Mason, Michigan-based Dart Container is run by his brother, Robert Dart.In recent years Dart’s focus seemed to shift from markets to property development, primarily in the Cayman Islands, where he’s made his home. Dart Real Estate has developed $1.5 billion in projects, including hotels, office buildings and residential complexes, according to its website.(Updates with total return swaps in fifth paragraph, Dart Enterprises’ response in seventh.)For more articles like this, please visit us at bloomberg.comSubscribe now to stay ahead with the most trusted business news source.©2021 Bloomberg L.P.","['SDG_1', 'SDG_3', 'SDG_9', 'SDG_11', 'SDG_12', 'SDG_15', 'SDG_17']","['SDG_3', 'SDG_9']","['SDG_11', 'SDG_12', 'SDG_3', 'SDG_15', 'SDG_1', 'SDG_9', 'SDG_17']",0.9032
22,https://www.offshorewind.biz/2021/04/30/orsted-points-at-possible-reason-for-eur-403-million-cable-problem/,Ørsted Points to Possible Reason for EUR 403 Million Cable Problem,42,Leading offshore wind developer Ørsted has suggested that a scour protection method which left the inter-array cables unstabilised could be the potential reason for an up to DKK 3 billion (EUR 403 million) issue across up to ten wind farms in Europe.,,,,0.0
