id,page,bbox,text_length,text,aurora,OSDG,combined,sentiment
6,page 1 of ../pdf/orsted.pdf,"(892.9133911132812, 744.9212036132812, 1030.6669921875, 780.4697265625)",23,"This report constitutes Ørsted’s compliance   with the statutory disclosure on corporate  social responsibility, see the Danish Financial  Statements Act, section 99a and 107d. ",,,,0.0
14,page 1 of ../pdf/orsted.pdf,"(737.4830932617188, 248.3181915283203, 981.856201171875, 294.8861999511719)",30,Our sustainability compass: Understanding the world around us A systematic and programmatic approach to sustainability Our 2020 portfolio of sustainability programmes Key industry challenges to a sustainable green energy build-out ,['SDG_9'],,['SDG_9'],0.34
15,page 1 of ../pdf/orsted.pdf,"(737.4830932617188, 308.31817626953125, 1011.255859375, 354.8861999511719)",29,Our response to three decisive sustainability challenges Supply chain decarbonisation programme picks up speed Biodiversity management supports accelerated green build-out Systematic engagement to build shared benefits with local communities ,['SDG_9'],,['SDG_9'],0.8934
16,page 1 of ../pdf/orsted.pdf,"(737.4830932617188, 368.31817626953125, 1061.751708984375, 426.8861999511719)",34,Our progress across sustainability programmes Dashboards with key performance indicators Programmes to catalyse the green energy transformation Programmes to address the sustainability impacts of the green energy transformation Programmes to ensure responsible business practices ,"['SDG_9', 'SDG_12']",,"['SDG_12', 'SDG_9']",0.872
19,page 1 of ../pdf/orsted.pdf,"(125.1968002319336, 224.37413024902344, 416.47283935546875, 258.8861389160156)",37,"The world is on the cusp of an unprecedented build-out of renewable energy.  In the coming years, we as an energy industry will have to address a number  of challenges to drive a rapid and sustainable build-out. ",['SDG_9'],,['SDG_9'],0.5859
20,page 1 of ../pdf/orsted.pdf,"(125.1968002319336, 272.3741149902344, 414.480712890625, 306.8861389160156)",29,"Throughout this report, we spotlight how we work systematically and pro- grammatically to identify and assess the sustainability challenges which are  most important to our stakeholders and our business. ","['SDG_9', 'SDG_12']",,"['SDG_12', 'SDG_9']",0.3384
22,page 1 of ../pdf/orsted.pdf,"(125.1968002319336, 338.7655334472656, 442.5328674316406, 419.08154296875)",47,"We don’t have all the answers or full visibility of the  journey we have ahead of us to create a sustainable  society. That shouldn’t prevent us from taking decisive  action now to stop climate change and create a better  tomorrow. After all, that’s what leadership is about. ","['SDG_9', 'SDG_13']",,"['SDG_13', 'SDG_9']",0.7096
56,page 2 of ../pdf/orsted.pdf,"(39.685001373291016, 285.2291259765625, 230.0349884033203, 326.5841064453125)",29,Emissions mainly² come from manufacturing and  transport of offshore wind farm components and  secondly from mining and transport of coal which we  will have phased out entirely in 2023. ,,,,0.0
57,page 2 of ../pdf/orsted.pdf,"(658.9824829101562, 757.3765869140625, 1151.7938232421875, 798.7315673828125)",70,"¹  Our carbon emissions accounting follows the Greenhouse Gas Protocol. This illustration shows the main sources of emissions per category.  Emission sources not illustrated make up 111 kt of our total carbon footprint from a variety of miscellaneous sources. For our detailed emis- sions accounting, please see our ESG performance report 2020, pages 16-17. ² Supply chain emissions from energy sales activities are accounted for under the 'Energy sales' category. ","['SDG_12', 'SDG_13']",,"['SDG_13', 'SDG_12']",0.6705
93,page 2 of ../pdf/orsted.pdf,"(445.618896484375, 285.2291259765625, 547.5288696289062, 358.0841064453125)",30,"Emissions mainly come from  burning coal at combined  heat and power plants. In  2023, we will have phased  out coal entirely, bringing  the emissions from genera- tion close to zero. ",,,,0.0
