id,page,bbox,text length,text
0,page 0 of ../pdf/orsted sustainability report.pdf,"(36.59519958496094, 34.176780700683594, 440.08917236328125, 235.8367919921875)",6,A sustainable  build-out of  green energy 
1,page 0 of ../pdf/orsted sustainability report.pdf,"(38.97639846801758, 732.8790283203125, 383.1210632324219, 811.7930297851562)",3,Sustainability report  2020 
2,page 1 of ../pdf/orsted sustainability report.pdf,"(741.0833129882812, 672.83642578125, 778.1930541992188, 690.7489013671875)",4,Ørsted  Annual report   2020 
3,page 1 of ../pdf/orsted sustainability report.pdf,"(826.594970703125, 672.9173583984375, 868.0204467773438, 690.0048217773438)",5,Ørsted  ESG performance  report 2020 
4,page 1 of ../pdf/orsted sustainability report.pdf,"(912.1068725585938, 672.8521118164062, 951.7584228515625, 691.4251098632812)",4,Ørsted Remuneration   report 2020 
5,page 1 of ../pdf/orsted sustainability report.pdf,"(651.9683837890625, 92.50382995605469, 802.9284057617188, 138.77783203125)",1,Contents 
6,page 1 of ../pdf/orsted sustainability report.pdf,"(892.9133911132812, 744.9212036132812, 1030.6669921875, 780.4697265625)",23,"This report constitutes Ørsted’s compliance   with the statutory disclosure on corporate  social responsibility, see the Danish Financial  Statements Act, section 99a and 107d. "
7,page 1 of ../pdf/orsted sustainability report.pdf,"(737.4788818359375, 648.53271484375, 952.2777709960938, 666.4727172851562)",9,Other annual reports 2020 Annual report ESG performance Remuneration 
8,page 1 of ../pdf/orsted sustainability report.pdf,"(718.26708984375, 224.3181915283203, 723.3070678710938, 235.20619201660156)",1,6 
9,page 1 of ../pdf/orsted sustainability report.pdf,"(713.2271118164062, 248.3181915283203, 723.3070678710938, 294.8861999511719)",4,10 12 16 17 
10,page 1 of ../pdf/orsted sustainability report.pdf,"(713.2271118164062, 308.31817626953125, 723.3070678710938, 354.8861999511719)",4,18 20 22 24 
11,page 1 of ../pdf/orsted sustainability report.pdf,"(713.2271118164062, 368.31817626953125, 723.3070678710938, 426.8861999511719)",5,26 28 32 36 38 
12,page 1 of ../pdf/orsted sustainability report.pdf,"(713.2271118164062, 440.3741760253906, 723.3070678710938, 462.8861999511719)",2,44 45 
13,page 1 of ../pdf/orsted sustainability report.pdf,"(737.4830932617188, 224.3181915283203, 982.4874877929688, 235.20619201660156)",12,How we transition to a world that runs entirely on green energy 
14,page 1 of ../pdf/orsted sustainability report.pdf,"(737.4830932617188, 248.3181915283203, 981.856201171875, 294.8861999511719)",30,Our sustainability compass: Understanding the world around us A systematic and programmatic approach to sustainability Our 2020 portfolio of sustainability programmes Key industry challenges to a sustainable green energy build-out 
15,page 1 of ../pdf/orsted sustainability report.pdf,"(737.4830932617188, 308.31817626953125, 1011.255859375, 354.8861999511719)",29,Our response to three decisive sustainability challenges Supply chain decarbonisation programme picks up speed Biodiversity management supports accelerated green build-out Systematic engagement to build shared benefits with local communities 
16,page 1 of ../pdf/orsted sustainability report.pdf,"(737.4830932617188, 368.31817626953125, 1061.751708984375, 426.8861999511719)",34,Our progress across sustainability programmes Dashboards with key performance indicators Programmes to catalyse the green energy transformation Programmes to address the sustainability impacts of the green energy transformation Programmes to ensure responsible business practices 
17,page 1 of ../pdf/orsted sustainability report.pdf,"(737.4830932617188, 440.3741760253906, 885.6648559570312, 462.8861999511719)",6,Sustainability governance Sustainability ratings and memberships 
18,page 1 of ../pdf/orsted sustainability report.pdf,"(125.1968002319336, 94.89389038085938, 449.7223815917969, 155.56588745117188)",8,Challenges to a sustainable  build-out of green energy 
19,page 1 of ../pdf/orsted sustainability report.pdf,"(125.1968002319336, 224.37413024902344, 416.47283935546875, 258.8861389160156)",37,"The world is on the cusp of an unprecedented build-out of renewable energy.  In the coming years, we as an energy industry will have to address a number  of challenges to drive a rapid and sustainable build-out. "
