id,page,bbox,text_length,text,aurora,OSDG,combined,sentiment
126,page 3 of ../pdf/generalmills.pdf,"(54.720001220703125, 328.48590087890625, 183.02392578125, 379.3848876953125)",25,n North America Retail 61% n  Convenience Stores and Foodservice 10% n  Europe and Australia 10% n  Asia and Latin America 9% n Pet 10% ,,,,0.0
147,page 3 of ../pdf/generalmills.pdf,"(228.8800048828125, 328.48590087890625, 340.5945739746094, 389.3848876953125)",22,n  Agriculture and transformation 54% n Packaging supply chain 8% n Producing 7% n Shipping 9% n Selling 5%  n Consuming 17% ,,,,0.0
176,page 4 of ../pdf/generalmills.pdf,"(52.92959976196289, 111.0619125366211, 707.3209228515625, 145.81092834472656)",32,"At General Mills, we work to create holistic value throughout our supply chain, from agriculture and  operations to our consumers and communities. Below are some highlights of our progress in fiscal 2020. ",,,,0.743
177,page 4 of ../pdf/generalmills.pdf,"(582.2647705078125, 239.72781372070312, 722.5747680664062, 310.6118469238281)",20,"We gave US$92 million  to charitable causes in  fiscal 2020, including  General Mills Foundation  grants, corporate contributions   and food donations. ",,,,0.5574
181,page 4 of ../pdf/generalmills.pdf,"(53.279998779296875, 581.5838623046875, 412.1173400878906, 597.849853515625)",34,"*Includes food for both humans and pets. Source: SPINS CY2020, Total – US Mulo, Natural Enhanced Channel and Pet Channel. **See the definitions of sustainably sourced for our 10 priority ingredients on page 71. ",['SDG_9'],,['SDG_9'],0.3612
185,page 5 of ../pdf/generalmills.pdf,"(132.42019653320312, 133.1302947998047, 728.6001586914062, 139.5452880859375)",22,Climate change Commodity availability Corporate governance and ethics Diverse consumer needs Food safety Health and nutrition Human rights Responsible sourcing Water stewardship ,['SDG_13'],,['SDG_13'],0.6249
192,page 5 of ../pdf/generalmills.pdf,"(54.0, 344.57080078125, 728.2722778320312, 367.8327941894531)",65,"*In this report, the terms “material” and “materiality” refer to topics that reflect General Mills significant environmental and social impacts or that substantially influence our global responsibility strategy. We are not using these terms as  they have been defined by securities laws in the United States or in the context of financial statements and financial reporting. **Circles note value chain phases for each relevant issue. ",,,,0.802
195,page 5 of ../pdf/generalmills.pdf,"(56.880001068115234, 418.6023864746094, 722.9879760742188, 427.1434020996094)",25,Food safety Ensure facilities worldwide are audited and/or certified by independent third parties using globally recognized food safety criteria (% of facilities) 100% 100% 93%* ,,,,0.8402
199,page 5 of ../pdf/generalmills.pdf,"(56.880001068115234, 466.6020812988281, 722.033935546875, 475.1430969238281)",27,Climate change Reduce absolute GHG emissions across our full value chain by 28% by 2025 and 41-72% by 2050 (% change compared to 2010) -13% -17% -16% ,['SDG_13'],,['SDG_13'],0.128
200,page 5 of ../pdf/generalmills.pdf,"(160.37396240234375, 479.6166076660156, 721.751953125, 486.8825988769531)",24,"All General Mills brands will design 100% of packaging to be recyclable or reusable by 2030 (U.S. data reported, by weight) 89% 88% 88% ",,,,0.0
202,page 5 of ../pdf/generalmills.pdf,"(160.3800048828125, 503.6166076660156, 721.9320068359375, 510.8825988769531)",25,Achieve zero waste to landfill at 30% of our owned production facilities by 2020 and 100% by 2025 (% of production facilities)*** 20% 24% 30% ,,,,-0.5719
203,page 5 of ../pdf/generalmills.pdf,"(56.880001068115234, 514.601806640625, 712.5478515625, 523.1427612304688)",20,Water stewardship Champion the activation of water stewardship plans for the company’s priority watersheds by 2025 Ongoing (see pages 25–27) ,,,,0.5994
208,page 5 of ../pdf/generalmills.pdf,"(54.25, 577.3239135742188, 501.32904052734375, 600.5858764648438)",57,"*Due to audit timing delays in Brazil caused by COVID-19, we did not complete 100% of audits during the fiscal year. **Applies to all General Mills owned production facilities. Normalized to production. ***These facilities sent no waste to landfill or incineration without energy recovery. Data includes facilities that were operating at the end of each fiscal year. ",,['SDG_12'],['SDG_12'],-0.7017
209,page 5 of ../pdf/generalmills.pdf,"(54.0, 93.79000854492188, 735.1215209960938, 112.88790893554688)",58,"This table summarizes the issues that are most material to our global responsibility strategy, based on a materiality assessment conducted in 2018. It includes several priority issues ranked highest by  our stakeholders. We describe information about our approach to and progress on these issues throughout this report and in the Global Reporting Initiative (GRI) index. GRI 102-46, 47 ",,,,0.4215
533,page 7 of ../pdf/generalmills.pdf,"(53.95719909667969, 96.53048706054688, 705.4202880859375, 106.09738159179688)",26,"General Mills supports the United Nations (UN) Sustainable Development Goals (SDGs), and we focus on the goals that align with the company’s material issues and areas   ",['SDG_9'],,['SDG_9'],0.6486
743,page 9 of ../pdf/generalmills.pdf,"(70.22149658203125, 591.5238647460938, 756.0001220703125, 604.735595703125)",25,"*Includes food for both humans and pets. Source: SPINS CY2020, Total - US Mulo, Natural Enhanced Channel and Pet Channel. GENERAL MILLS GLOBAL RESPONSIBILITY    08 ",,,,0.3612
835,page 10 of ../pdf/generalmills.pdf,"(78.91796875, 459.14190673828125, 330.5398864746094, 530.8079223632812)",64,"General Mills is a leader in regenerative agriculture,   a suite of farming principles that helps rebuild soils   and strengthens ecosystems and farming communities.   By applying regenerative practices to growing grains, like oats   for Cheerios®, we can help to sequester carbon in the soil to reduce  greenhouse gas emissions, while delivering whole grains to our consumers.  Learn more about our commitment to advance regenerative agriculture. ",['SDG_13'],,['SDG_13'],0.9241
910,page 11 of ../pdf/generalmills.pdf,"(614.0732421875, 295.0179138183594, 717.5010375976562, 358.0784606933594)",31,"v Two-ounce cereal cups  enable foodservice operators  to more easily meet the  weekly grain requirements  for school meals, so students  get whole grains and key  nutrients in a way they enjoy. ",,,,0.7089
