id,page,bbox,text_length,text,aurora,OSDG,combined,sentiment
42,page 2 of ../pdf/nestle.pdf,"(34.01568603515625, 211.8643035888672, 524.6316528320312, 302.4883117675781)",34,"At Nestlé, we define sustainable development as the process  of increasing the world’s access to higher quality food, while contributing to long term social and economic development,  and preserving the environment for future generations.  ","['SDG_9', 'SDG_15']",,"['SDG_15', 'SDG_9']",0.0
43,page 2 of ../pdf/nestle.pdf,"(34.01568603515625, 331.86431884765625, 555.6189575195312, 518.48828125)",73,"In the 135-year life of Nestlé, our fundamental approach to business has been the creation of long term sustainable value  for our consumers, customers, employees, shareholders, and society as a whole. The Nestlé Corporate Business Principles state openly that we favour long term business development over short term profit. While we are committed to making a healthy profit, we instruct managers not to do so at the expense of long term, sustainable development. ","['SDG_9', 'SDG_12']",,"['SDG_9', 'SDG_12']",0.9432
44,page 3 of ../pdf/nestle.pdf,"(62.63779830932617, 212.48629760742188, 292.2980041503906, 270.9610900878906)",37,"As we move ahead in the 21st century, we believe that a business strategy based on high-quality food and beverage products can only be maintained  by business practices based on the principles of  long term sustainable development.  ","['SDG_9', 'SDG_12']",,"['SDG_9', 'SDG_12']",0.0
45,page 3 of ../pdf/nestle.pdf,"(62.63779830932617, 284.4853820800781, 303.9989318847656, 330.9604797363281)",29,"In this report we attempt to describe how we practice and implement the principles of sustainable development where we have direct influence and impact on economies, societies and environments. ","['SDG_9', 'SDG_15']",,"['SDG_15', 'SDG_9']",0.0
46,page 3 of ../pdf/nestle.pdf,"(62.63779830932617, 344.4847717285156, 302.2908020019531, 438.9586486816406)",58,"For everyone in our company, our responsibilities and values are reflected in our commitment to the  Nestlé Corporate Business Principles. These set out the basic rules we follow to make sure we maintain  the highest standards of conduct. This report presents some key performance measures and figures, and shows how we endeavour to put our Principles into practice.  ",,,,0.765
47,page 3 of ../pdf/nestle.pdf,"(62.63780212402344, 452.4829406738281, 301.9532470703125, 630.9546508789062)",106,"In meeting our commitment to be a leader in sustainable development, we build on two  of the essential pillars of our long term strategy: innovation-renovation and operational efficiency.  We innovate in new products and technologies  to meet the present and future needs of our consumers in an increasingly sustainable manner,  and we improve or renovate existing products and technologies for the same reasons. We are dedicated to continuous improvement in the efficient use of resources, resulting not only in lower operating  costs, but also in a lower impact on the environment. Managing our activities in accordance with  the principles of sustainable development makes good business sense. ","['SDG_9', 'SDG_12', 'SDG_15']",,"['SDG_15', 'SDG_9', 'SDG_12']",0.9444
48,page 3 of ../pdf/nestle.pdf,"(62.63780212402344, 644.47900390625, 302.7839050292969, 678.954345703125)",21,"Given the company’s focus on high quality, food safety, nutritional value, and consumer appeal, Nestlé needs to purchase high-quality agricultural goods ",['SDG_9'],,['SDG_9'],0.6369
49,page 3 of ../pdf/nestle.pdf,"(319.1731872558594, 212.48629760742188, 559.3193969726562, 258.9613952636719)",32,"produced in a sustainable way. Even though we own no agricultural land, our approach has been, through technical assistance, to improve the farming methods and standard of living of millions of farmers. ","['SDG_9', 'SDG_15']",,"['SDG_15', 'SDG_9']",0.1779
50,page 3 of ../pdf/nestle.pdf,"(319.1731872558594, 272.4856872558594, 554.0850219726562, 402.9586486816406)",83,"This is Nestlé’s initial effort to report on sustainable development, attempting to describe our impact  on the well-being of people and the planet. As such, it is a step on a journey, as opposed to an end  point in itself. In addition, we have produced more detailed reports, entitled Environment Progress  Report 2000 and Nestlé in the Community, and  our annual Management Report provides  details on financial performance. You will find information on these and other publications at the end of this report. ","['SDG_9', 'SDG_12', 'SDG_15', 'SDG_17']",,"['SDG_15', 'SDG_9', 'SDG_12', 'SDG_17']",0.6326
51,page 3 of ../pdf/nestle.pdf,"(319.1731872558594, 416.4829406738281, 554.3387451171875, 486.9574279785156)",52,"We are committed to being open and transparent, and to listening to the views of others as we move forward in sustainable development. For this reason, we invite you to use the enclosed card or to write to us (www.nestle.com) with any comments and suggestions you may have after reading this report. ",['SDG_9'],,['SDG_9'],0.4019
56,page 4 of ../pdf/nestle.pdf,"(34.01570129394531, 211.8643035888672, 519.6862182617188, 398.4883117675781)",62,"Our values and principles are elaborated in the Nestlé  Corporate Business Principles. These were issued in 1998 and updated in 2002 in order to integrate all existing business principles at Nestlé into one single document, now incorporating our Corporate Governance Principles.  The updated version includes all nine principles of  the UN Secretary-General’s Global Compact, regarding  labour standards, human rights, and the environment. ",,,,0.4019
61,page 5 of ../pdf/nestle.pdf,"(62.637794494628906, 236.48660278320312, 305.9743957519531, 342.9601745605469)",54,— Favouring long term development over short term profit; — Long term commitments and relationships; — Respect for and integration with diverse cultures; — Proper conduct and ethical values as basic requirements for our management and employees;  — Recognition that consumers deserve information about the products they buy and the company behind the brand. ,,,,0.93
62,page 5 of ../pdf/nestle.pdf,"(62.637794494628906, 356.4844665527344, 302.69207763671875, 414.9592590332031)",33,"These Principles have been translated into over  forty languages and all Nestlé managers are required  to know and abide by them. They are incorporated into our ongoing training programmes, particularly  for new employees. ",,,,0.0
63,page 5 of ../pdf/nestle.pdf,"(62.63778305053711, 428.4835510253906, 304.1924133300781, 534.9570922851562)",53,Topics covered in the Nestlé Corporate Business Principles include: national legislation and international recommendations; consumers; children  as consumers; infant health and nutrition; human rights; human resources and the workplace; child labour; business partners; conflicts of interest; relationships with suppliers; competition; external relations; protection of the environment; water policy; agricultural raw materials; and compliance. ,['SDG_8'],['SDG_16'],"['SDG_8', 'SDG_16']",0.1027
64,page 5 of ../pdf/nestle.pdf,"(319.1731872558594, 212.48629760742188, 547.4474487304688, 294.9604797363281)",38,"The Principles incorporate our official Nestlé Corporate Governance Principles, which cover  four essential areas: the rights and responsibilities  of shareholders; the equitable treatment  of shareholders; the duties and responsibilities  of the Board of Directors; and disclosure  and transparency. ",,,,0.0
65,page 5 of ../pdf/nestle.pdf,"(319.1731872558594, 308.4847717285156, 552.549560546875, 390.9589538574219)",48,"Members of the Nestlé Board of Directors are nominated and carry out their duties according  to Swiss law. The Board has a high degree  of independence, as all are non-executive members, with the exception of the “administrateur délégué“ (CEO), the Board member delegated to actively manage the company. ",,,,0.3182
66,page 5 of ../pdf/nestle.pdf,"(319.17315673828125, 404.4832458496094, 557.5518188476562, 462.9580383300781)",33,"Regarding public disclosure, the Financial Statements of the Nestlé Management Report 2001 include  more detailed information on the remuneration of members of the Nestlé Board of Directors and the Nestlé Executive Management Group. ",,,,0.0
67,page 5 of ../pdf/nestle.pdf,"(319.17315673828125, 476.4823303222656, 550.7621459960938, 570.9561767578125)",52,"The Board is also ultimately responsible for overseeing and implementing all the Nestlé  Corporate Business Principles. It is worth noting  that Mr Stephan Schmidheiny, one of the members  of the Nestlé Board, is also one of the founders  of the World Business Council for Sustainable Development, a leading organisation  in environmental matters. ","['SDG_9', 'SDG_15']",,"['SDG_15', 'SDG_9']",0.5106
68,page 5 of ../pdf/nestle.pdf,"(319.17315673828125, 584.4805297851562, 555.1405639648438, 678.9544067382812)",51,"Nestlé is registered in Switzerland and governed under Swiss company law. While shareholders  of Swiss companies have to meet greater requirements for introducing shareholder resolutions than in some other countries, Nestlé shareholders exercise a number of additional rights in comparison with shareholders of companies registered in many other countries. For example: ",,,,0.4215
69,page 6 of ../pdf/nestle.pdf,"(34.01570129394531, 68.4863052368164, 268.0570983886719, 174.95986938476562)",56,"— Shareholders decide on the appropriation  of profits resulting from the balance sheet  of Nestlé S.A. and, in particular, they determine the amount of the dividend;  — Shareholders adopt and amend the Articles  of Association; — Shareholders can place items on the agenda and ask questions at General Meetings in accordance with the Articles of Association. ",,,,0.5574
70,page 6 of ../pdf/nestle.pdf,"(34.01570129394531, 188.48416137695312, 273.73883056640625, 282.9580383300781)",65,"Nestlé applies the principle of “one share – one vote“ up to a maximum of 3% of the total shares  (at the time of the publication of this review, no one shareholder owned more than 3% of the total  amount of Nestlé shares). This helps to protect the large number of small Nestlé shareholders against potential pressure coming from a small number of large shareholders. ",,,,0.7003
71,page 6 of ../pdf/nestle.pdf,"(34.01570129394531, 296.4823303222656, 271.9297790527344, 342.9574279785156)",28,"It also helps avoid hostile take-overs of the company, thereby maintaining and safeguarding a system of social values built up by our company over decades of business activity. ",,,,0.3818
72,page 6 of ../pdf/nestle.pdf,"(290.55078125, 212.48171997070312, 532.1820068359375, 294.9559020996094)",43,"A companion document to the Principles is The Basic Nestlé Management and Leadership Principles document. Developed in 1997, this important document lays out the fundamental guiding principles for management behaviour, selection and promotion. This document summarises the essential basic elements of Nestlé culture. ",,,,0.25
77,page 6 of ../pdf/nestle.pdf,"(34.01570129394531, 536.6483154296875, 146.73170471191406, 630.9961547851562)",26,Nestlé S.A. is included in the Dow Jones Sustainability Index. This Index includes about 200 companies that represent the top 10% of the leading sustainability companies ,['SDG_9'],,['SDG_9'],0.2023
78,page 6 of ../pdf/nestle.pdf,"(162.28370666503906, 500.646484375, 274.92230224609375, 630.9934692382812)",35,"in 64 industry groups from 33 countries. The companies are selected by a systematic assessment of corporate sustainability practices. Companies included in the index actively lead their industries and  set industry-wide best practices in: Strategy, ","['SDG_9', 'SDG_12']",,"['SDG_9', 'SDG_12']",0.7579
80,page 7 of ../pdf/nestle.pdf,"(319.1731872558594, 212.48629760742188, 556.6447143554688, 330.9595642089844)",74,"With some 200 local internal auditors in the markets, and a team of 25 corporate auditors reporting  to the Head of Auditing at our international headquarters, we have a system in place which allows us to continuously monitor that the Nestlé Corporate Business Principles are being  implemented in all the countries where we operate. The Principles are published on the Nestlé Intranet site so that all employees can read and understand the criteria used.  ",,,,0.0
81,page 7 of ../pdf/nestle.pdf,"(319.1732177734375, 344.4838562011719, 556.0074462890625, 450.9574279785156)",72,"The corporate auditors travel continuously from country to country and visit all Nestlé factories, local head offices, distribution centres and sales offices  on a systematic basis. Audit findings are reported  to the Head of Corporate Auditing and the CEO  of Nestlé S.A., as well as the person responsible for the Nestlé market or the respective country  manager. The Audit Committee of the Nestlé Board  of Directors is informed of all significant findings. ",,,,0.7906
93,page 8 of ../pdf/nestle.pdf,"(32.5984001159668, 211.8643035888672, 536.1265869140625, 446.4883117675781)",94,"A key feature of Nestlé’s approach is to locate aspects of production in the developing world, rather than to simply source raw materials there. 45% of our factories are situated in such countries, and 48% of our employees are located in developing countries, even though these countries represent less than a third of our sales. Nestlé has publicly stated that a fundamental principle of its economic investments is that  they should be “good for the country and good for the company“. In this way Nestlé seeks to be a true partner in sustainable development.  ","['SDG_9', 'SDG_12', 'SDG_17']",,"['SDG_9', 'SDG_12', 'SDG_17']",0.6908
95,page 9 of ../pdf/nestle.pdf,"(62.63779830932617, 68.4863052368164, 306.0931701660156, 186.95956420898438)",76,"Nestlé’s fundamental purpose is to meet the needs  of its customers and consumers for quality food products that offer value for money. By doing this successfully, we generate long term, sustainable economic results and development for all those with a stake in the business. With factories located  in more than 80 countries, and with Nestlé companies  in virtually every country in the world, the effects  of our business development are felt by economies around the globe.  ","['SDG_9', 'SDG_12']",,"['SDG_9', 'SDG_12']",0.7311
96,page 9 of ../pdf/nestle.pdf,"(62.63779830932617, 200.48385620117188, 299.63751220703125, 294.9577331542969)",56,"This occurs in different ways. For example, through technology transfer, through apprentice programmes and training local employees to international standards, as well as by paying taxes which help  fund local infrastructure construction, Nestlé  is contributing to sustainable economic development around the world and at the same time improving  the quality of foods that are locally available. ",['SDG_9'],,['SDG_9'],0.765
