id,link,title,text length,text
0,https://www.aftermarketnews.com/maserati-and-shell-launch-co-branded-motor-oil-for-hybrid-models/,"Maserati, Shell Launch Co-Branded Hybrid Motor Oil",78,"Maserati started a new era in 2020 with the brand’s first-ever electrified model, the new Ghibli Hybrid, based on the company’s innovative and game-changing electrification strategy. To ensure the best performance and protection for Ghibli Hybrid engines, Shell and Maserati have extended their long-standing technical and commercial collaboration with the launch of the new Shell Helix Ultra Hybrid 0W-30 oil for Maserati hybrid engines. This new product will be available in Europe and Asia from official Maserati dealerships."
4,https://www.aftermarketnews.com/maserati-and-shell-launch-co-branded-motor-oil-for-hybrid-models/,"Maserati, Shell Launch Co-Branded Hybrid Motor Oil",83,"Shell and Maserati’s collaboration dates back to 2007 and since then Maserati has recommended Shell lubricants in all its vehicles. The launch of this new co-branded motor oil for Maserati’s hybrid engines is the first step in the two brands commitment to work together to support Maserati’s electrification strategy. It joins the previous Shell Helix Ultra 5W-40 and 10W-60 oils for Maserati petrol and diesel engines, which have been specifically developed to guarantee long-lasting performance and superior protection throughout the car’s engine lifespan."
6,https://www.aftermarketnews.com/maserati-and-shell-launch-co-branded-motor-oil-for-hybrid-models/,"Maserati, Shell Launch Co-Branded Hybrid Motor Oil",137,"“Maserati has ignited the flame of its new energy solution, entering the world of electrification without betraying the brand’s core identity and DNA by choosing a hybrid solution focused primarily on improving performance, while also saving fuel and cutting emissions,” said Alberto Pantanelli, head of Maserati Parts & Service, Maserati Spa. “Integral to our long-standing relationship with Shell has been our close collaboration to develop new co-branded motor oils that allow our Maserati owners to optimize their engine’s power and performance. Hybrid engines have specific lubrication requirements that can’t be met with motor oils that have been developed for internal combustion engines only. Shell’s innovation excellence and deep understanding of the specific technical requirements of electric drive trains have made them an ideal partner to deliver the high-quality products we both want to offer our Maserati drivers.”"
8,https://www.aftermarketnews.com/maserati-and-shell-launch-co-branded-motor-oil-for-hybrid-models/,"Maserati, Shell Launch Co-Branded Hybrid Motor Oil",76,"“In this very significant year for the “Trident,” we are proud to have renewed our commercial and technical collaboration with the launch of this specialized co-branded lubricant for Maserati’s new hybrid engines,” added Steve Reindl, Shell Global Commercial vice president, Global Key Accounts. “This is another milestone of the collaboration that Maserati and Shell started back in 2007 and we look forward to being Maserati’s Technology and Innovation partner of choice in their journey to electrification.”"
9,https://www.ft.com/content/053663f1-0320-4b83-be31-fefbc49b0efc,Subscribe to a slice of the FT,22,Get access to the FT's daily newsletter with guided explanation of and links to the day's top stories written by FT editors.
16,https://finance.yahoo.com/news/royal-dutch-shell-plc-report-090000632.html,ROYAL DUTCH SHELL PLC – REPORT ON PAYMENTS TO GOVERNMENT FOR THE YEAR 2020,159,"This Report provides a consolidated overview of the payments to governments made by Royal Dutch Shell plc and its subsidiary undertakings (hereinafter referred to as “Shell”) for the year 2020 as required under the UK’s Report on Payments to Governments Regulations 2014 (as amended in December 2015). These UK Regulations enact domestic rules in line with Directive 2013/34/EU (the EU Accounting Directive (2013)) and apply to large UK incorporated companies like Royal Dutch Shell plc that are involved in the exploration, prospection, discovery, development and extraction of minerals, oil, natural gas deposits or other materials. This Report is also filed with the National Storage Mechanism (https://data.fca.org.uk/#/nsm/nationalstoragemechanism) intended to satisfy the requirements of the Disclosure Guidance and Transparency Rules of the Financial Conduct Authority in the United Kingdom. Following the UK’s exit from the EU and the end of the transition period on 31 December 2020, this Report is also published pursuant to article 5:25e of the Dutch FMSA (Wft)."
22,https://finance.yahoo.com/news/royal-dutch-shell-plc-report-090000632.html,ROYAL DUTCH SHELL PLC – REPORT ON PAYMENTS TO GOVERNMENT FOR THE YEAR 2020,29,This Report is prepared in accordance with The Reports on Payments to Governments Regulations 2014 as enacted in the UK in December 2014 and as amended in December 2015.
26,https://finance.yahoo.com/news/royal-dutch-shell-plc-report-090000632.html,ROYAL DUTCH SHELL PLC – REPORT ON PAYMENTS TO GOVERNMENT FOR THE YEAR 2020,31,This Report includes payments to governments made by Royal Dutch Shell plc and its subsidiary undertakings (Shell). Payments made by entities where Shell has joint control are excluded from this Report.
30,https://finance.yahoo.com/news/royal-dutch-shell-plc-report-090000632.html,ROYAL DUTCH SHELL PLC – REPORT ON PAYMENTS TO GOVERNMENT FOR THE YEAR 2020,91,"Payments made by Shell to governments arising from activities involving the exploration, prospection, discovery, development and extraction of minerals, oil and natural gas deposits or other materials (extractive activities) are disclosed in this Report. It excludes payments related to refining, natural gas liquefaction or gas-to-liquids activities. For a fully integrated project, which does not have an interim contractual cut-off point where a value can be attached or ascribed separately to the extractive activities and to other processing activities, payments to governments will not be artificially split but are disclosed in full."
36,https://finance.yahoo.com/news/royal-dutch-shell-plc-report-090000632.html,ROYAL DUTCH SHELL PLC – REPORT ON PAYMENTS TO GOVERNMENT FOR THE YEAR 2020,30,"Government includes any national, regional or local authority of a country, and includes a department, agency or entity that is a subsidiary of a government, including a national oil company."
