id,link,title,text_length,text,aurora,OSDG,combined,sentiment
4,https://www.worldoil.com/news/2021/4/16/shell-joins-key-large-scale-carbon-capture-project-in-the-uk,Shell joins key large-scale carbon capture project in the UK,39,(Bloomberg) --Royal Dutch Shell Plc is joining a project to build what could be one of the UK’s first large-scale carbon capture and hydrogen hubs as the oil major refocuses toward cleaner energy and slims down its traditional business.,,,,0.4215
6,https://www.worldoil.com/news/2021/4/16/shell-joins-key-large-scale-carbon-capture-project-in-the-uk,Shell joins key large-scale carbon capture project in the UK,48,"Shell will team up with the UK’s biggest independent oil and gas producer Harbour Energy Plc, and the project’s developer Storegga Geotechnologies Ltd, a unit of the latter said Friday. The companies will be equal partners in the Acorn venture, it said, without disclosing potential investments from them.",,,,0.2732
8,https://www.worldoil.com/news/2021/4/16/shell-joins-key-large-scale-carbon-capture-project-in-the-uk,Shell joins key large-scale carbon capture project in the UK,62,"The deal is the latest in a string of low-carbon ventures announced by Big Oil over the past year. The Anglo-Dutch major, which seeks to have access to an additional 25 million tons a year of carbon capture and storage capacity by 2035, is developing large-scale projects in Australia and Norway, and a facility in Canada already capturing 1 million tons annually.",,,,0.0
10,https://www.worldoil.com/news/2021/4/16/shell-joins-key-large-scale-carbon-capture-project-in-the-uk,Shell joins key large-scale carbon capture project in the UK,44,"Acorn is on course to be the UK’s first, cost-efficient and scalable CCS, according to Storegga. It is expected to be storing at least 5 million tons a year of carbon dioxide by 2030, half the emissions set out in the UK government’s targets.",,,,0.0
12,https://www.worldoil.com/news/2021/4/16/shell-joins-key-large-scale-carbon-capture-project-in-the-uk,Shell joins key large-scale carbon capture project in the UK,39,"Based in North East Scotland, Acorn CCS can re-purpose existing natural gas pipelines to take CO2, with the first phase operational by the mid 2020s, according to the project’s website. The Acorn hydrogen plant could be online in 2025.",,,,0.3612
14,https://www.worldoil.com/news/2021/4/16/shell-joins-key-large-scale-carbon-capture-project-in-the-uk,Shell joins key large-scale carbon capture project in the UK,31,"Total SE had announced interest in the project in 2018, but earlier this week Acorn said the French major had decided to step down “as part of its portfolio management strategy.”",,,,0.25
21,https://finance.yahoo.com/news/top-analyst-reports-salesforce-citigroup-210809211.html,"Top Analyst Reports for salesforce, Citigroup & Royal Dutch Shell",51,"The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports on 16 major stocks, including salesforce.com (CRM), Citigroup (C) and Royal Dutch Shell (RDS.A). These research reports have been hand-picked from the roughly 70 reports published by our analyst team today.",,,,0.6369
25,https://finance.yahoo.com/news/top-analyst-reports-salesforce-citigroup-210809211.html,"Top Analyst Reports for salesforce, Citigroup & Royal Dutch Shell",38,Shares of salesforce have underperformed the Zacks Computer Software industry over the past year (+46.7% vs. +49.6%). The Zacks analyst believes that salesforce is benefiting from a robust demand environment as customers are undergoing a major digital transformation.,,,,0.4767
27,https://finance.yahoo.com/news/top-analyst-reports-salesforce-citigroup-210809211.html,"Top Analyst Reports for salesforce, Citigroup & Royal Dutch Shell",41,The rapid adoption of its cloud-based solutions is driving demand for its products. The company’s sustained focus on introducing more aligned products as per customer needs is driving its top-line. Continued deal wins in the international market is another growth driver.,,,,0.7579
29,https://finance.yahoo.com/news/top-analyst-reports-salesforce-citigroup-210809211.html,"Top Analyst Reports for salesforce, Citigroup & Royal Dutch Shell",26,"However, stiff competition is a concern. Besides, unfavorable currency fluctuations along with increasing investments in international expansions and data centers are an overhang on near-term profitability.",,,,0.2732
