id,page,bbox,text_length,text,aurora,OSDG,combined,sentiment
6,page 1 of ../pdf/shell.pdf,"(69.92539978027344, 688.4566650390625, 317.6270446777344, 712.4146728515625)",28,COVER IMAGES The images on the front cover represent the four goals of Shell’s Powering Progress strategy:  achieving net-zero emissions; powering lives; respecting nature; and generating shareholder value. ,,,,0.8126
7,page 1 of ../pdf/shell.pdf,"(69.92539978027344, 716.2907104492188, 315.0943603515625, 739.9127197265625)",37,"Powering Progress is designed to create value for shareholders, customers and wider society. The  strategy seeks to accelerate Shell’s transformation into a provider of net-zero emissions energy  products and services, powered by growth in its customer-facing businesses. ",,,,0.875
16,page 2 of ../pdf/shell.pdf,"(56.69300079345703, 283.63775634765625, 207.90199279785156, 357.68170166015625)",24,32 Our climate target 37 Managing greenhouse gas emissions 45 Producing natural gas responsibly 47 Providing lower-carbon electricity 50 Fuelling mobility 53 Driving innovation ,['SDG_13'],['SDG_7'],"['SDG_7', 'SDG_13']",0.6249
17,page 2 of ../pdf/shell.pdf,"(225.82699584960938, 140.86968994140625, 376.3399658203125, 228.41360473632812)",28,55 Our approach to the environment 55 Protecting biodiversity 58 Conserving water resources 60 Decommissioning and restoration 61 Managing waste 61 Plastics 62 Air emissions 63 The Arctic ,['SDG_15'],['SDG_14'],"['SDG_14', 'SDG_15']",-0.4215
18,page 2 of ../pdf/shell.pdf,"(225.82701110839844, 257.25360107421875, 375.7400817871094, 323.1975402832031)",29,65 Providing access to energy 66 Working with our suppliers 69 Contributing to communities 74 Advancing diversity and inclusion 76 Respecting human rights 78 Managing our impact on people ,,,,0.6486
20,page 2 of ../pdf/shell.pdf,"(394.96099853515625, 212.2535400390625, 546.6820068359375, 288.9974670410156)",32,86 About our data 87 Our standards and policies 88 Our Powering Progress targets 89 Safety performance data 90 Greenhouse gas and energy data 95 Other environmental data 97 Social performance data ,['SDG_13'],,['SDG_13'],0.6249
28,page 2 of ../pdf/shell.pdf,"(56.691009521484375, 398.69549560546875, 212.63706970214844, 485.646484375)",60,"Digital The Sustainability Report is published in an online version at reports.shell.com. The online version includes additional information, such as an interactive GRI index to enhance usability for the reader. In the event of any discrepancy between the online and hardcopy versions, the information contained in the online report prevails. This hardcopy version is provided for the reader’s convenience only. ","['SDG_9', 'SDG_12']",,"['SDG_9', 'SDG_12']",0.0
29,page 2 of ../pdf/shell.pdf,"(56.69101333618164, 492.19549560546875, 213.09213256835938, 596.1465454101562)",90,"Scenarios This report contains data and analysis from Shell’s Sky 1.5 scenario. Shell scenarios are not intended to be projections or forecasts of the future. Shell scenarios, including the scenarios contained in the report, are not Shell’s strategy or business plan. When developing Shell’s strategy, our scenarios are one of many variables that we consider. Ultimately, whether society meets its goals to decarbonise is not within Shell’s control. While we intend to travel this journey in step with society, only governments can create the framework for success. The Sky 1.5 ",,,,0.7003
30,page 2 of ../pdf/shell.pdf,"(225.82501220703125, 399.0874938964844, 383.1081237792969, 596.1465454101562)",179,"scenario starts with data from Shell’s Sky scenario, but there are important updates. First, the outlook uses the most recent modelling for the impact of and recovery from COVID-19 consistent with a Sky 1.5 scenario narrative. Second, it blends this projection into existing Sky (2018) energy system data by around 2030. Third, the extensive scale-up of nature-based solutions is brought into the core scenario, which benefits from extensive new modelling of that scale-up. In 2018, nature-based solutions required to achieve 1.5 degrees Celsius (1.5°C) above pre-industrial levels by the end of this century were analysed as a sensitivity to Sky. This analysis was also reviewed and included in the IPCC Special Report on Global Warming of 1.5°C. Fourth, our new oil and natural gas supply modelling, with an outlook consistent with the Sky 1.5 narrative and demand, is presented for the first time. Fifth, the Sky 1.5 scenario draws on the latest historical data and estimates up to 2020 from various sources, particularly the extensive International Energy Agency energy statistics. As with Sky, this scenario assumes that society achieves ",['SDG_13'],['SDG_7'],"['SDG_7', 'SDG_13']",0.9705
31,page 2 of ../pdf/shell.pdf,"(394.9590148925781, 399.0874938964844, 551.801025390625, 519.6465454101562)",103,"the 1.5°C stretch goal of the Paris Agreement. It is rooted in stretching but realistic development dynamics today but explores a goal-oriented way to achieve that ambition. We worked back in designing how this could occur, considering the realities of the situation today and taking into account realistic timescales for change. Of course, there is a range of possible paths in detail that society could take to achieve this goal. Although achieving the goal of the Paris Agreement and the future depicted in Sky 1.5 while maintaining a growing global economy will be extremely challenging, today it is still a technically possible path. ",,,,0.9089
32,page 2 of ../pdf/shell.pdf,"(394.9590148925781, 526.195556640625, 542.2040405273438, 570.6465454101562)",29,Imagery Photos used may have been taken prior to imposition of restrictions related to the COVID-19 pandemic and/or reflect the restrictions of the location where the photo was taken. ,['SDG_3'],,['SDG_3'],0.0
40,page 3 of ../pdf/shell.pdf,"(56.69300079345703, 591.788818359375, 253.86305236816406, 656.6888427734375)",24,"Welcome to the Shell Sustainability Report, which covers our social, safety and environmental performance in 2020 and significant events for Shell during the year. ","['SDG_9', 'SDG_15']",,"['SDG_9', 'SDG_15']",0.765
52,page 4 of ../pdf/shell.pdf,"(56.69300079345703, 297.7327880859375, 285.6929626464844, 329.2287902832031)",35,"The COVID-19 pandemic made 2020 a deeply challenging year. Tragically, it led to the deaths of 20 of our Shell colleagues, painful evidence of the gravity of the situation in many parts of the world. ",['SDG_3'],,['SDG_3'],-0.7159
53,page 4 of ../pdf/shell.pdf,"(56.69300079345703, 337.7327880859375, 296.44500732421875, 379.2287902832031)",38,"It was a time to pause and reflect on a new reality, and quickly adapt. We saw inspiring action in health care and science. There has been widespread collaboration focused on well-being between medical communities, businesses and governments. ",,,,0.8225
54,page 4 of ../pdf/shell.pdf,"(56.69300079345703, 387.7327880859375, 296.3970031738281, 479.2287902832031)",94,"We, at Shell, have been playing our part. We took additional steps to make workplaces safe for staff and contractors, and to maintain energy supplies. We increased production of isopropyl alcohol and donated it for hand-sanitising liquid and used our global supply network to source masks and ventilators to address shortages in some communities where we work. We offered free fuel for ambulances and free food and drink in certain countries for emergency workers. We also donated to relief efforts, including $10 million to COVAX, the programme working for equitable access to COVID-19 vaccines. ",['SDG_4'],,['SDG_4'],0.9382
