id,page,bbox,text length,text
0,page 0 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3937072753906, 378.5867919921875, 468.9228210449219, 406.2035827636719)",7,SUSTAINABILITY REPORT 2020 ROYAL DUTCH SHELL PLC 
1,page 0 of ../pdf/shell-sustainability-report-2020.pdf,"(308.1900939941406, 281.4079895019531, 575.8053588867188, 379.02899169921875)",2,RESPONSIBLE  ENERGY 
2,page 0 of ../pdf/shell-sustainability-report-2020.pdf,"(-22.287899017333984, 60.220703125, -10.199898719787598, 761.735107421875)",7,SUSTAINABILITY REPORT 2020 ROYAL DUTCH SHELL PLC 
3,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92549896240234, 121.96307373046875, 224.40155029296875, 166.8862762451172)",12,"Our strategy to accelerate the  transition to net-zero emissions,  purposefully and profitably "
4,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 73.9076156616211, 188.8654022216797, 124.02761840820312)",2,POWERING  PROGRESS 
5,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 585.9007568359375, 202.02288818359375, 649.539794921875)",10,UNDERPINNED BY   OUR CORE VALUES   AND OUR FOCUS   ON SAFETY 
6,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 688.4566650390625, 317.6270446777344, 712.4146728515625)",28,COVER IMAGES The images on the front cover represent the four goals of Shell’s Powering Progress strategy:  achieving net-zero emissions; powering lives; respecting nature; and generating shareholder value. 
7,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 716.2907104492188, 315.0943603515625, 739.9127197265625)",37,"Powering Progress is designed to create value for shareholders, customers and wider society. The  strategy seeks to accelerate Shell’s transformation into a provider of net-zero emissions energy  products and services, powered by growth in its customer-facing businesses. "
8,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(252.6295928955078, 340.39080810546875, 347.9255676269531, 371.8868103027344)",10,Growing value through  a dynamic portfolio and  disciplined capital allocation 
9,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(252.1175994873047, 635.3268432617188, 361.7760009765625, 666.8228149414062)",14,Working with our customers and  sectors to accelerate the energy  transition to net-zero emissions 
10,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(92.10961151123047, 457.518798828125, 186.242431640625, 499.0148010253906)",12,"Protecting the environment,  reducing waste and making  a positive contribution to  biodiversity "
11,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(425.86962890625, 457.4307861328125, 527.0648193359375, 488.9267883300781)",12,"Powering lives through our  products and activities, and  supporting an inclusive society "
12,page 1 of ../pdf/shell-sustainability-report-2020.pdf,"(69.92539978027344, 766.5066528320312, 242.51846313476562, 777.8391723632812)",5,ii Shell Sustainability Report 2020 
13,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 93.59577941894531, 170.59300231933594, 123.45578002929688)",1,CONTENTS 
14,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 140.86981201171875, 197.33399963378906, 185.21377563476562)",19,02 Letter from the CEO 04 Our approach to sustainability 12 Shell's response to COVID-19 14 About this report 
15,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 223.05377197265625, 204.718017578125, 245.79776000976562)",7,18 Business ethics and transparency 23 Safety 
