id,page,bbox,text length,text,SDG
16,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 283.63775634765625, 207.90199279785156, 357.68170166015625)",24,32 Our climate target 37 Managing greenhouse gas emissions 45 Producing natural gas responsibly 47 Providing lower-carbon electricity 50 Fuelling mobility 53 Driving innovation ,['SDG_7']
17,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(225.82699584960938, 140.86968994140625, 376.3399658203125, 228.41360473632812)",28,55 Our approach to the environment 55 Protecting biodiversity 58 Conserving water resources 60 Decommissioning and restoration 61 Managing waste 61 Plastics 62 Air emissions 63 The Arctic ,['SDG_14']
30,page 2 of ../pdf/shell-sustainability-report-2020.pdf,"(225.82501220703125, 399.0874938964844, 383.1081237792969, 596.1465454101562)",179,"scenario starts with data from Shell’s Sky scenario, but there are important updates. First, the outlook uses the most recent modelling for the impact of and recovery from COVID-19 consistent with a Sky 1.5 scenario narrative. Second, it blends this projection into existing Sky (2018) energy system data by around 2030. Third, the extensive scale-up of nature-based solutions is brought into the core scenario, which benefits from extensive new modelling of that scale-up. In 2018, nature-based solutions required to achieve 1.5 degrees Celsius (1.5°C) above pre-industrial levels by the end of this century were analysed as a sensitivity to Sky. This analysis was also reviewed and included in the IPCC Special Report on Global Warming of 1.5°C. Fourth, our new oil and natural gas supply modelling, with an outlook consistent with the Sky 1.5 narrative and demand, is presented for the first time. Fifth, the Sky 1.5 scenario draws on the latest historical data and estimates up to 2020 from various sources, particularly the extensive International Energy Agency energy statistics. As with Sky, this scenario assumes that society achieves ",['SDG_7']
67,page 4 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 667.7327880859375, 546.5220947265625, 709.228759765625)",43,"For example, we are working to keep waste from our operations to a minimum and run our operations and supply chains so they can contribute to a circular economy. This means designing materials and products that can be more easily reused and recycled. ",['SDG_12']
124,page 6 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 610.308837890625, 546.2020263671875, 681.8048095703125)",68,"We engage with communities and other stakeholders, such as customers and contractors, to discuss projects. We listen to concerns they might have as well as ideas so these can be addressed in the planning and design of our projects. This input helps us comply with relevant social and environmental regulations and align with international standards, such as those set by the World Bank and the International Finance Corporation. ",['SDG_16']
131,page 7 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 284.4207763671875, 294.60498046875, 395.9167785644531)",104,"We train our project teams to embed sustainability into projects and aim to balance short- and long-term business interests. Specialists support our project teams in areas such as biodiversity, waste, air, energy and water management, and human rights, including indigenous peoples’ rights, cultural heritage and resettlement. This approach has meant, for example, that since construction started at the Shell-operated QGC natural gas project in Australia, only 34% of disturbance to endangered ecosystems, ecosystems of concern and essential habitats has occurred compared with what was initially predicted (see Biodiversity). Shell has a majority interest in QGC as a result of the BG acquisition in 2016. ",['SDG_11']
133,page 7 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 206.56280517578125, 546.2979125976562, 288.0588073730469)",69,"We work continually to improve the energy efficiency of our facilities. This includes monitoring electricity use, making equipment more efficient through regular and smart scheduling of maintenance, and using more renewable energy sources. For example, in 2020, we invested in new furnaces for our Moerdijk petrochemicals complex in the Netherlands to reduce energy consumption and GHG emissions by around 10% compared with 2019 (see Energy efficiency in our operations). ",['SDG_7']
201,page 9 of ../pdf/shell-sustainability-report-2020.pdf,"(421.52301025390625, 196.00579833984375, 534.9370727539062, 246.5828094482422)",23,"▪ Increase the proportion of lower- carbon products such as natural gas, biofuels, electricity and hydrogen in the mix of products we sell. ",['SDG_7']
215,page 9 of ../pdf/shell-sustainability-report-2020.pdf,"(421.52301025390625, 354.68280029296875, 532.3259887695312, 415.2597961425781)",27,"▪ Further embed the guiding principles for reducing methane emissions across the natural gas value chain, which Shell and seven other energy companies signed in November 2017. ",['SDG_7']
296,page 12 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 446.56378173828125, 298.8769836425781, 508.0597839355469)",53,"SESCo reviews and considers external stakeholder perspectives in relation to Shell’s business, as well as how Shell addresses issues of public concern that could affect its reputation and licence to operate. Examples include plastic waste, methane emissions, human rights, the UN Sustainable Development Goals, and access to energy in low- and middle-income countries. ",['SDG_16']
325,page 13 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39398193359375, 96.56279754638672, 552.6179809570312, 198.05880737304688)",90,"Following discussions with major shareholders and based on recommendations from the Board's Safety, Environment and Sustainability Committee, the Board’s Remuneration Committee added an energy transition condition to the 2019 long-term incentive plan award. This condition included our first three-year target aligned with the trajectory of our long-term Net Carbon Footprint ambition at the time. It also featured other measures linked to our strategic ambitions, including the growth of Shell’s power business, the commercialisation of advanced biofuel technology, and the development of sinks to capture and store carbon (see Business strategy). ",['SDG_7']
349,page 13 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 528.8738403320312, 552.4502563476562, 640.3698120117188)",105,"For 2021 share awards, the weighting of the energy transition condition has doubled, and for the long-term incentive plan it has been increased from 10% to 20%. The target range for the 2021-2023 long- term incentive plan grant is a 6-8% reduction in net carbon intensity against the 2016 baseline of 79 grams of CO2 equivalent per megajoule. The other targets linked to our strategic ambitions will also evolve, with the metric connected to commercialising advanced biofuel technology broadening to a measure of growing new cleaner energy product offerings. The targets for the leading energy transition measures are commercially sensitive and will be disclosed retrospectively. ",['SDG_7']
357,page 14 of ../pdf/shell-sustainability-report-2020.pdf,"(56.692996978759766, 192.56378173828125, 298.13299560546875, 234.05978393554688)",47,"In 2020, the COVID-19 pandemic had a serious impact on people’s health and livelihoods around the world. Sadly, it led to the deaths of 20 Shell colleagues, including two contractors who lost their lives after they caught the virus during the course of their work for Shell. ",['SDG_3']
362,page 14 of ../pdf/shell-sustainability-report-2020.pdf,"(56.6929931640625, 662.9208374023438, 295.4290466308594, 754.4168090820312)",79,"Shell updated business continuity plans and supporting guidance to ensure the safety and health of our key workers at facilities worldwide remained a priority (see Supply chain). These plans included robust cleaning programmes, health screening, social distancing in vehicles and common areas, and providing additional personal protective equipment in accordance with local guidelines. We increased our use of technology, for example, drones for remote monitoring of facilities, as lockdowns caused by the COVID-19 pandemic disrupted the movement of people. ",['SDG_3']
363,page 14 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39398193359375, 192.56280517578125, 549.4739379882812, 254.05880737304688)",56,"We also strengthened our approach to mental health. We provided resources to address the challenges of remote working and to support staff as Shell prepared for a major organisational restructure. We set up a Care-for-Self programme to encourage staff to pay attention to their physical and mental well-being, and to support them as they did so. ",['SDG_3']
447,page 18 of ../pdf/shell-sustainability-report-2020.pdf,"(310.3940124511719, 96.56377410888672, 550.1619873046875, 168.05978393554688)",61,"Shell has the potential to become a leader in evolving areas of sustainability disclosure, particularly water – where localised, context- based reporting is key to understanding a company’s impact – and strategies to reduce greenhouse gas emissions. There are areas where strategy remains less evident, notably renewable energy and, in a broader context, systemic changes and opportunities of the energy transition. ",['SDG_7']
475,page 20 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 660.4728393554688, 295.3249816894531, 742.4168090820312)",64,"Supply chain In 2020, we took steps to strengthen and simplify our approach to working with suppliers and contractors amid COVID-19 uncertainties. For example, we adapted our due diligence assessments to ensure partners that look to save costs do not compromise ethical conduct. We also produced additional COVID-19 guidance for employees, highlighting potential corruption and money laundering risks in supply chain and relief donations. ",['SDG_16']
517,page 21 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39398193359375, 636.5637817382812, 550.498291015625, 728.0597534179688)",97,"We also work with the Oil and Gas Climate Initiative, a voluntary CEO-led group that focuses on carbon capture, utilisation and storage, methane detection and reduction, as well as energy efficiency. In 2020, the group announced a new target to reduce the collective average carbon intensity of member companies’ aggregated upstream oil and gas operations to between 20 kilograms and 21 kilograms of carbon dioxide equivalent per barrel of oil equivalent by 2025. This target is consistent with the reduction needed across the oil and gas industry by 2025 to support the goals of the Paris Agreement. ",['SDG_7']
580,page 23 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39398193359375, 196.11578369140625, 549.6983032226562, 248.05978393554688)",48,"TAX TRANSPARENCY Taxes are a vital source of revenue for countries around the world and help to fund essential services like education, health care and transport. In times of crisis such as the COVID-19 pandemic, taxes are also central to government policies to support people’s lives and livelihoods. ",['SDG_16']
876,page 32 of ../pdf/shell-sustainability-report-2020.pdf,"(310.39404296875, 406.11578369140625, 548.0899658203125, 468.0597839355469)",51,"Circular economy We are preparing for regulations and requirements that aim to create a more circular economy, such as those arising from changes to European Union directives on waste. A circular economy is based on the idea that things are designed to last longer and to be reused, repurposed, or recycled. ",['SDG_12']
903,page 34 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 180.56378173828125, 293.02099609375, 232.05978393554688)",56,"With this target, we will contribute to a net-zero world, where society stops adding to the total amount of greenhouse gases (GHGs) in the atmosphere. This supports the most ambitious goal to tackle climate change laid out in the Paris Agreement: to limit the rise in average global temperature to 1.5 degrees Celsius above pre-industrial levels. ",['SDG_13']
905,page 34 of ../pdf/shell-sustainability-report-2020.pdf,"(56.69300079345703, 300.56378173828125, 291.02899169921875, 332.0597839355469)",28,"We are transforming our business to meet our target, providing more low-carbon energy such as charging for electric vehicles, hydrogen and electricity generated by solar and wind power. ",['SDG_7']
